MFN;Columna;Antes;Despues
049258;v26_Afiliacion_del_autor;^aCorrea, J. P.^nUniversidad Nacional de San Martín. Instituto de Investigación e Ingeniería Ambiental^pArgentina^nConsejo Nacional de Investigaciones Científicas y Técnicas^pArgentina<|>^aBlanco Massani, Mariana Raquel^nInstituto Nacional de Tecnología Industrial. INTI-Plásticos^pArgentina^nConsejo Nacional de Investigaciones Científicas y Técnicas^pArgentina<|>^aMolina, V.^nInstituto Nacional de Tecnología Industrial. INTI-Plásticos^pArgentina<|>^aSanchez, M.^nInstituto Nacional de Tecnología Industrial. INTI-Plásticos^pArgentina<|>^aEisenberg, P.^nInstituto Nacional de Tecnología Industrial. INTI-Plásticos^pArgentina^nUniversidad Nacional de San Martín. Instituto de Investigación e Ingeniería Ambiental^pArgentina<|>^aKainz, Cecilia^nInstituto Nacional de Tecnología Industrial. INTI-Plásticos^pArgentina;^aCorrea Aguirre, Juan Pablo^nUniversidad Nacional de San Martín. Instituto de Investigación e Ingeniería Ambiental^pArgentina^nConsejo Nacional de Investigaciones Científicas y Técnicas^pArgentina<|>^aBlanco Massani, Mariana Raquel^nInstituto Nacional de Tecnología Industrial. INTI-Plásticos^pArgentina^nConsejo Nacional de Investigaciones Científicas y Técnicas^pArgentina<|>^aMolina, V.^nInstituto Nacional de Tecnología Industrial. INTI-Plásticos^pArgentina<|>^aSanchez, M.^nInstituto Nacional de Tecnología Industrial. INTI-Plásticos^pArgentina<|>^aEisenberg, P.^nInstituto Nacional de Tecnología Industrial. INTI-Plásticos^pArgentina^nUniversidad Nacional de San Martín. Instituto de Investigación e Ingeniería Ambiental^pArgentina<|>^aKainz, Cecilia^nInstituto Nacional de Tecnología Industrial. INTI-Plásticos^pArgentina
049650;v26_Afiliacion_del_autor;^aCanteros, C.^nInstituto Nacional de Tecnología Industrial^sINTI-Comunicación^lBuenos Aires^pAR<|>^aCid, P.^nInstituto Nacional de Tecnología Industrial^sINTI-Comunicación^lBuenos Aires^pAR<|>^aCánaves, L.^nInstituto Nacional de Tecnología Industrial^sINTI-Comunicación^lBuenos Aires^pAR<|>^aMazzeo, C.^nInstituto Nacional de Tecnología Industrial^sINTI-Comunicación^lBuenos Aires^pAR<|>^aEscudero, H.^nInstituto Nacional de Tecnología Industrial^sINTI-Comunicación^lBuenos Aires^pAR<|>^aDe Marco, S.^nInstituto Nacional de Tecnología Industrial^sINTI-Comunicación^lBuenos Aires^pAR<|>^aSalgueiro, F.^nInstituto Nacional de Tecnología Industrial^sINTI-Comunicación^lBuenos Aires^pAR<|>^aMontenegro, V.^nInstituto Nacional de Tecnología Industrial^sINTI-Comunicación^lBuenos Aires^pAR<|>^aZenobi, E.^nInstituto Nacional de Tecnología Industrial^sINTI-Comunicación^lBuenos Aires^pAR<|>^aJiménez, M.C.^nInstituto Nacional de Tecnología Industrial^sINTI-Comunicación^lBuenos Aires^pAR<|>^aCifuente, A.^nInstituto Nacional de Tecnología Industrial^sINTI-Comunicación^lBuenos Aires^pAR<|>^aYanniello, A.^nInstituto Nacional de Tecnología Industrial^sINTI-Comunicación^lBuenos Aires^pAR<|>^aNicastro, J.^nInstituto Nacional de Tecnología Industrial^sINTI-Comunicación^lBuenos Aires^pAR<|>^aNoli, P.^nInstituto Nacional de Tecnología Industrial^sINTI-Comunicación^lBuenos Aires^pAR<|>^aGuzmán, H.^nInstituto Nacional de Tecnología Industrial^sINTI-Mendoza^lMendoza^pAR<|>^aRosic, B.^nInstituto Nacional de Tecnología Industrial^sINTI-Mar del Plata^lBuenos Aires^pAR;^aCanteros Cavalcante, Carmen^nInstituto Nacional de Tecnología Industrial^sINTI-Comunicación^lBuenos Aires^pAR<|>^aCid, Pablo^nInstituto Nacional de Tecnología Industrial^sINTI-Comunicación^lBuenos Aires^pAR<|>^aCánaves, L.^nInstituto Nacional de Tecnología Industrial^sINTI-Comunicación^lBuenos Aires^pAR<|>^aMazzeo, C.^nInstituto Nacional de Tecnología Industrial^sINTI-Comunicación^lBuenos Aires^pAR<|>^aEscudero, H.^nInstituto Nacional de Tecnología Industrial^sINTI-Comunicación^lBuenos Aires^pAR<|>^aDe Marco, Soledad^nInstituto Nacional de Tecnología Industrial^sINTI-Comunicación^lBuenos Aires^pAR<|>^aSalgueiro, F.^nInstituto Nacional de Tecnología Industrial^sINTI-Comunicación^lBuenos Aires^pAR<|>^aMontenegro, V.^nInstituto Nacional de Tecnología Industrial^sINTI-Comunicación^lBuenos Aires^pAR<|>^aZenobi, María Elisa^nInstituto Nacional de Tecnología Industrial^sINTI-Comunicación^lBuenos Aires^pAR<|>^aJiménez, M.C.^nInstituto Nacional de Tecnología Industrial^sINTI-Comunicación^lBuenos Aires^pAR<|>^aCifuente, A.^nInstituto Nacional de Tecnología Industrial^sINTI-Comunicación^lBuenos Aires^pAR<|>^aYanniello, A.^nInstituto Nacional de Tecnología Industrial^sINTI-Comunicación^lBuenos Aires^pAR<|>^aNicastro, J.^nInstituto Nacional de Tecnología Industrial^sINTI-Comunicación^lBuenos Aires^pAR<|>^aNoli, P.^nInstituto Nacional de Tecnología Industrial^sINTI-Comunicación^lBuenos Aires^pAR<|>^aGuzmán, H.^nInstituto Nacional de Tecnología Industrial^sINTI-Mendoza^lMendoza^pAR<|>^aRosic, B.^nInstituto Nacional de Tecnología Industrial^sINTI-Mar del Plata^lBuenos Aires^pAR
049720;v26_Afiliacion_del_autor;^aBaretta, Luis Rubén^nInstituto Nacional de Tecnología Industrial. INTI-Tecnologías de Gestión^pArgentina<|>^aAbate, G.^nInstituto Nacional de Tecnología Industrial. INTI-Mecánica^pArgentina<|>^aRosso, J.^nInstituto Nacional de Tecnología Industrial. INTI-Tecnologías de Gestión^pArgentina<|>^aPérez, D.^nInstituto Nacional de Tecnología Industrial. INTI-Mecánica^pArgentina<|>^aMartínez Krahmer, Daniel Osvaldo^nInstituto Nacional de Tecnología Industrial. INTI-Mecánica^pArgentina;^aBaretta, Luis Rubén^nInstituto Nacional de Tecnología Industrial. INTI-Tecnologías de Gestión^pArgentina<|>^aAbate, Germán Rubén^nInstituto Nacional de Tecnología Industrial. INTI-Mecánica^pArgentina<|>^aRosso, J.^nInstituto Nacional de Tecnología Industrial. INTI-Tecnologías de Gestión^pArgentina<|>^aPérez, D.^nInstituto Nacional de Tecnología Industrial. INTI-Mecánica^pArgentina<|>^aMartínez Krahmer, Daniel Osvaldo^nInstituto Nacional de Tecnología Industrial. INTI-Mecánica^pArgentina
049727;v26_Afiliacion_del_autor;^aAimar, B.^nInstituto Nacional de Tecnología Industrial. INTI-Lácteos^pArgentina<|>^aKarlen, J.^nInstituto Nacional de Tecnología Industrial. INTI-Lácteos^pArgentina<|>^aCostabel, Luciana Maria^nInstituto Nacional de Tecnología Agropecuaria^sINTA^pArgentina<|>^aAudero, Gabriela María^nInstituto Nacional de Tecnología Agropecuaria^sINTA^pArgentina<|>^aAguilar, Leandro Javier Ceferino^nInstituto Nacional de Tecnología Industrial^sINTI-Lácteos^pArgentina<|>^aBonafede, Mauro^nInstituto Nacional de Tecnología Industrial. INTI-Lácteos^pArgentina<|>^aButarelli, Silvina Laura^nInstituto Nacional de Tecnología Agropecuaria^sINTA^pArgentina<|>^aBoffa, Sebastián^nInstituto Nacional de Tecnología Agropecuaria^sINTA^pArgentina<|>^aTrulls, B.^nInstituto Nacional de Tecnología Agropecuaria^sINTA^pArgentina;^aAimar, Bruno Nicolás^nInstituto Nacional de Tecnología Industrial. INTI-Lácteos^pArgentina<|>^aKarlen, J.^nInstituto Nacional de Tecnología Industrial. INTI-Lácteos^pArgentina<|>^aCostabel, Luciana Maria^nInstituto Nacional de Tecnología Agropecuaria^sINTA^pArgentina<|>^aAudero, Gabriela María^nInstituto Nacional de Tecnología Agropecuaria^sINTA^pArgentina<|>^aAguilar, Leandro Javier Ceferino^nInstituto Nacional de Tecnología Industrial^sINTI-Lácteos^pArgentina<|>^aBonafede, Mauro^nInstituto Nacional de Tecnología Industrial. INTI-Lácteos^pArgentina<|>^aButarelli, Silvina Laura^nInstituto Nacional de Tecnología Agropecuaria^sINTA^pArgentina<|>^aBoffa, Sebastián^nInstituto Nacional de Tecnología Agropecuaria^sINTA^pArgentina<|>^aTrulls, B.^nInstituto Nacional de Tecnología Agropecuaria^sINTA^pArgentina
049812;v26_Afiliacion_del_autor;^aÁlvarez, Rodrigo Javier^nInstituto Nacional de Tecnología Industrial. INTI-Química^pArgentina<|>^aUgarteche, Wanda María Sol^nInstituto Nacional de Tecnología Industrial. INTI-Química^pArgentina<|>^aAmore, S. F.^nInstituto Nacional de Tecnología Industrial. INTI-Química^pArgentina<|>^aSchvartz, Mariano Ariel^nInstituto Nacional de Tecnología Industrial. INTI-Química^pArgentina<|>^aQuesada, M.^nUniversidad Nacional de Catamarca^sUNCA^pArgentina<|>^aGheco, L.^nUniversidad Nacional de Catamarca^sUNCA^pArgentina;^aÁlvarez, Rodrigo Javier^nInstituto Nacional de Tecnología Industrial. INTI-Química^pArgentina<|>^aUgarteche, Wanda María Sol^nInstituto Nacional de Tecnología Industrial. INTI-Química^pArgentina<|>^aAmore, Sandra Francisca^nInstituto Nacional de Tecnología Industrial. INTI-Química^pArgentina<|>^aSchvartz, Mariano Ariel^nInstituto Nacional de Tecnología Industrial. INTI-Química^pArgentina<|>^aQuesada, M.^nUniversidad Nacional de Catamarca^sUNCA^pArgentina<|>^aGheco, L.^nUniversidad Nacional de Catamarca^sUNCA^pArgentina
049846;v26_Afiliacion_del_autor;^aCiarlantini, Matías Sebastián^nInstituto Nacional de Tecnología Industrial^sINTI-Química^pArgentina<|>^aGarcía, L. C.^nInstituto Nacional de Tecnología Industrial^sINTI-Química^pArgentina<|>^aGandolfi Donadío, L.^nInstituto Nacional de Tecnología Industrial^sINTI-Química^pArgentina<|>^aCardama, Georgina Alexandra^nUniversidad Nacional de Quilmes^sUNQUI^pArgentina<|>^aLorenzano Menna, P.^nUniversidad Nacional de Quilmes^sUNQUI^pArgentina<|>^aGonzález, N.^nUniversidad Nacional de Quilmes^sUNQUI^pArgentina<|>^aAlonso, Daniel F.^nUniversidad Nacional de Quilmes^sUNQUI^pArgentina<|>^aGómez, D. E.^nUniversidad Nacional de Quilmes^sUNQUI^pArgentina<|>^aDefelipe, Lucas Alfredo^nUniversidad de Buenos Aires. Facultad de Ciencias Exactas y Naturales^sFCEyN-UBA^pArgentina<|>^aTurjanski, Adrián G.^nUniversidad de Buenos Aires. Facultad de Ciencias Exactas y Naturales^sFCEyN-UBA^pArgentina<|>^aBlumberg, P. M.^nNational Cancer Institute^sNCI^pEstados Unidos<|>^aComin, María Julieta^nInstituto Nacional de Tecnología Industrial^sINTI-Química^pArgentina;^aCiarlantini, Matías Sebastián^nInstituto Nacional de Tecnología Industrial^sINTI-Química^pArgentina<|>^aGarcía, L. C.^nInstituto Nacional de Tecnología Industrial^sINTI-Química^pArgentina<|>^aGandolfi Donadío, L.^nInstituto Nacional de Tecnología Industrial^sINTI-Química^pArgentina<|>^aCardama, Georgina Alexandra^nUniversidad Nacional de Quilmes^sUNQUI^pArgentina<|>^aLorenzano Menna, P.^nUniversidad Nacional de Quilmes^sUNQUI^pArgentina<|>^aGonzález, N.^nUniversidad Nacional de Quilmes^sUNQUI^pArgentina<|>^aAlonso, Daniel Fernando^nUniversidad Nacional de Quilmes^sUNQUI^pArgentina<|>^aGómez, D. E.^nUniversidad Nacional de Quilmes^sUNQUI^pArgentina<|>^aDefelipe, Lucas Alfredo^nUniversidad de Buenos Aires. Facultad de Ciencias Exactas y Naturales^sFCEyN-UBA^pArgentina<|>^aTurjanski, Adrián G.^nUniversidad de Buenos Aires. Facultad de Ciencias Exactas y Naturales^sFCEyN-UBA^pArgentina<|>^aBlumberg, P. M.^nNational Cancer Institute^sNCI^pEstados Unidos<|>^aComin, María Julieta^nInstituto Nacional de Tecnología Industrial^sINTI-Química^pArgentina
049853;v26_Afiliacion_del_autor;^aAbate, G.^nInstituto Nacional de Tecnología Industrial. INTI-Mecánica^pArgentina<|>^aPérez, D.^nInstituto Nacional de Tecnología Industrial. INTI-Mecánica^pArgentina<|>^aMartínez Krahmer, Daniel Osvaldo^nInstituto Nacional de Tecnología Industrial. INTI-Mecánica^pArgentina<|>^aBigot, Régis^nÉcole Nationale Supérieure d'Arts et Métiers^sENSAM^lMetz^pFR;^aAbate, Germán Rubén^nInstituto Nacional de Tecnología Industrial. INTI-Mecánica^pArgentina<|>^aPérez, D.^nInstituto Nacional de Tecnología Industrial. INTI-Mecánica^pArgentina<|>^aMartínez Krahmer, Daniel Osvaldo^nInstituto Nacional de Tecnología Industrial. INTI-Mecánica^pArgentina<|>^aBigot, Régis^nÉcole Nationale Supérieure d'Arts et Métiers^sENSAM^lMetz^pFR
050275;v26_Afiliacion_del_autor;^aCarfagnini, M.^nInstituto Nacional de Tecnología Industrial. INTI-Textiles^pArgentina<|>^aTakashima, C.^nInstituto Nacional de Tecnología Industrial. INTI-Textiles^pArgentina<|>^aSaralegui, Santiago^nInstituto Nacional de Tecnología Industrial. INTI-Textiles^pArgentina<|>^aRegente Pacheco, C.^nUniversidad Tecnológica Nacional. Departamento de Ingeniería Textil^sUTN^pArgentina;^aCarfagnini, Mariana^nInstituto Nacional de Tecnología Industrial. INTI-Textiles^pArgentina<|>^aTakashima, C.^nInstituto Nacional de Tecnología Industrial. INTI-Textiles^pArgentina<|>^aSaralegui, Santiago^nInstituto Nacional de Tecnología Industrial. INTI-Textiles^pArgentina<|>^aRegente Pacheco, C.^nUniversidad Tecnológica Nacional. Departamento de Ingeniería Textil^sUTN^pArgentina
050458;v26_Afiliacion_del_autor;^aLupo, Sergio^nInstituto Nacional de Tecnología Industrial^sINTI^lBuenos Aires^pArgentina<|>^aForastieri, Juan^nInstituto Nacional de Tecnología Industrial^sINTI^lBuenos Aires^pArgentina;^aLupo, Sergio Gustavo^nInstituto Nacional de Tecnología Industrial^sINTI^lBuenos Aires^pArgentina<|>^aForastieri, Juan^nInstituto Nacional de Tecnología Industrial^sINTI^lBuenos Aires^pArgentina
050500;v26_Afiliacion_del_autor;^aCogno, Jorge Adrián^nInstituto Nacional de Tecnología Industrial. INTI-Procesos Superficiales^pArgentina<|>^aAmelotti, Franco Ignacio^nInstituto Nacional de Tecnología Industrial. INTI-Procesos Superficiales^pArgentina<|>^aAbuin, Graciela Carmen^nInstituto Nacional de Tecnología Industrial. INTI-Procesos Superficiales^pArgentina<|>^aAmore, S. F.^nInstituto Nacional de Tecnología Industrial. INTI-Química^pArgentina<|>^aCastro, Á.^nInstituto Nacional de Tecnología Industrial. INTI-Servicio Argentino de Interlaboratorios^pArgentina;^aCogno, Jorge Adrián^nInstituto Nacional de Tecnología Industrial. INTI-Procesos Superficiales^pArgentina<|>^aAmelotti, Franco Ignacio^nInstituto Nacional de Tecnología Industrial. INTI-Procesos Superficiales^pArgentina<|>^aAbuin, Graciela Carmen^nInstituto Nacional de Tecnología Industrial. INTI-Procesos Superficiales^pArgentina<|>^aAmore, Sandra Francisca^nInstituto Nacional de Tecnología Industrial. INTI-Química^pArgentina<|>^aCastro, Á.^nInstituto Nacional de Tecnología Industrial. INTI-Servicio Argentino de Interlaboratorios^pArgentina
