MFN;Columna;Antes;Despues
031754;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031755;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031757;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031758;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031759;v7_Tipo_de_documento;manual<|>Libro electrónico;Manual<|>Libro electrónico
031760;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031761;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031762;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031764;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031765;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031766;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031767;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031768;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031769;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031770;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031771;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031772;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031773;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031774;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031776;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031777;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031778;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031779;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031780;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031781;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031787;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031790;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
031791;v7_Tipo_de_documento;material cartográfico<|>Libro electrónico;Material cartográfico<|>Libro electrónico
031792;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031793;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031794;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031795;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
031797;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031798;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
031799;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031800;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
031801;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
031802;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031803;v7_Tipo_de_documento;monografía<|>Libro electrónico;Monografía<|>Libro electrónico
031804;v7_Tipo_de_documento;obra de referencia<|>Libro electrónico;Obra de referencia<|>Libro electrónico
031807;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
031808;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
031809;v7_Tipo_de_documento;congreso<|>Libro electrónico;Congreso<|>Libro electrónico
