MFN;Columna;Antes;Despues
002217;v22_Autor_personal;Pedrani de Silvestri, Mirta N.<|>Gracia de Giol, María V.<|>Buljan de Manzino, María E.<|>Martínez, C.D.;Pedrani de Silvestri, Mirta N.<|>Gracia de Giol, María V.<|>Buljan de Manzino, María E.<|>Martínez, Carlos Daniel
002959;v22_Autor_personal;Garófalo, Juan<|>Esperón, Héctor O.<|>Marino, Patricia;Garófalo, Juan<|>Esperón, Héctor O.<|>Marino, Patricia Noemí
002960;v22_Autor_personal;Garófalo, Juan<|>Maciel, Carmen S.<|>Marino, Patricia<|>Larcher, Fernando;Garófalo, Juan<|>Maciel, Carmen S.<|>Marino, Patricia Noemí<|>Larcher, Fernando
002961;v22_Autor_personal;Garófalo, Juan<|>Marino, Patricia;Garófalo, Juan<|>Marino, Patricia Noemí
002962;v22_Autor_personal;Garófalo, Juan<|>Marino, Patricia;Garófalo, Juan<|>Marino, Patricia Noemí
002963;v22_Autor_personal;Garófalo, Juan<|>Marino, Patricia;Garófalo, Juan<|>Marino, Patricia Noemí
002964;v22_Autor_personal;Garófalo, Juan<|>Marino, Patricia;Garófalo, Juan<|>Marino, Patricia Noemí
002966;v22_Autor_personal;Garófalo, Juan<|>Marino, Patricia;Garófalo, Juan<|>Marino, Patricia Noemí
003022;v22_Autor_personal;Glasserman de Dayan, Hilda<|>Taibo, Lucía;Glasserman de Dayan, Hilda<|>Taibo, Lucía Noemí
003550;v22_Autor_personal;Marino, Patricia;Marino, Patricia Noemí
003551;v22_Autor_personal;Marino, Patricia<|>Garófalo, Juan;Marino, Patricia Noemí<|>Garófalo, Juan
003878;v22_Autor_personal;Taibo, Lucía<|>Behar, Alberto;Taibo, Lucía Noemí<|>Behar, Alberto
003879;v22_Autor_personal;Taibo, Lucía<|>Glasserman de Dayan, Hilda;Taibo, Lucía Noemí<|>Glasserman de Dayan, Hilda
003880;v22_Autor_personal;Taibo, Lucía<|>Glasserman de Dayan, Hilda;Taibo, Lucía Noemí<|>Glasserman de Dayan, Hilda
003994;v22_Autor_personal;Behar, Alberto<|>Taibo, Lucía;Behar, Alberto<|>Taibo, Lucía Noemí
004005;v22_Autor_personal;Behar, Alberto<|>Taibo, Lucía;Behar, Alberto<|>Taibo, Lucía Noemí
004200;v22_Autor_personal;Taibo, Lucía<|>Glasserman de Dayan, Hilda;Taibo, Lucía Noemí<|>Glasserman de Dayan, Hilda
004219;v22_Autor_personal;Behar, Alberto<|>Taibo, Lucía<|>Martin, Alan;Behar, Alberto<|>Taibo, Lucía Noemí<|>Martin, Alan
004249;v22_Autor_personal;Behar, Alberto<|>Taibo, Lucía<|>Raitzin, Carlos;Behar, Alberto<|>Taibo, Lucía Noemí<|>Raitzin, Carlos
004310;v22_Autor_personal;Marino, Patricia;Marino, Patricia Noemí
004311;v22_Autor_personal;Marino, Patricia;Marino, Patricia Noemí
004456;v22_Autor_personal;Taibo, Lucía<|>Giménez de Paz, Juan Cruz;Taibo, Lucía Noemí<|>Giménez de Paz, Juan Cruz
004458;v22_Autor_personal;Taibo, Lucía<|>Glasserman de Dayan, Hilda;Taibo, Lucía Noemí<|>Glasserman de Dayan, Hilda
004469;v22_Autor_personal;Taibo, Lucía<|>Glasserman de Dayan, Hilda;Taibo, Lucía Noemí<|>Glasserman de Dayan, Hilda
004478;v22_Autor_personal;Garófalo, Juan<|>Marino, Patricia<|>Buonamico, Héctor Daniel;Garófalo, Juan<|>Marino, Patricia Noemí<|>Buonamico, Héctor Daniel
004612;v22_Autor_personal;Taibo, Lucía<|>Glasserman de Dayan, Hilda;Taibo, Lucía Noemí<|>Glasserman de Dayan, Hilda
004732;v22_Autor_personal;Marino, Patricia;Marino, Patricia Noemí
004734;v22_Autor_personal;Marino, Patricia;Marino, Patricia Noemí
004738;v22_Autor_personal;Marino, Patricia<|>Garófalo, Juan<|>Barella Miró, Alberto<|>Manich, Alberto M.;Marino, Patricia Noemí<|>Garófalo, Juan<|>Barella Miró, Alberto<|>Manich, Alberto M.
004742;v22_Autor_personal;Marino, Patricia<|>Garófalo, Juan<|>Barella Miró, Alberto<|>Manich, Alberto M.;Marino, Patricia Noemí<|>Garófalo, Juan<|>Barella Miró, Alberto<|>Manich, Alberto M.
004857;v22_Autor_personal;Meier, Jorge H.<|>Vázquez, Héctor J.<|>Garófalo, Juan<|>Godel, Alberto M.<|>Ladrón González, Luis Alfredo<|>Marino, Patricia<|>Savignano, José;Meier, Jorge H.<|>Vázquez, Héctor J.<|>Garófalo, Juan<|>Godel, Alberto M.<|>Ladrón González, Luis Alfredo<|>Marino, Patricia Noemí<|>Savignano, José
004939;v22_Autor_personal;Marino, Patricia<|>Garófalo, Juan;Marino, Patricia Noemí<|>Garófalo, Juan
004948;v22_Autor_personal;Pasich, Luis<|>Suchowinsky, Teodoro<|>Ricciardi, Aldo A.<|>Garófalo, Juan<|>Marino, Patricia;Pasich, Luis<|>Suchowinsky, Teodoro<|>Ricciardi, Aldo A.<|>Garófalo, Juan<|>Marino, Patricia Noemí
004982;v22_Autor_personal;Taibo, Lucía;Taibo, Lucía Noemí
005000;v22_Autor_personal;Marino, Patricia<|>Buonamico, Héctor Daniel<|>Ricciardi, Aldo A.<|>Pasich, Luis;Marino, Patricia Noemí<|>Buonamico, Héctor Daniel<|>Ricciardi, Aldo A.<|>Pasich, Luis
005001;v22_Autor_personal;Ricciardi, Aldo A.<|>Pasich, Luis<|>Manoiloff, Irene T. de<|>Holtzman, Patricia<|>Garofalo, Juan<|>Marino, Patricia;Ricciardi, Aldo A.<|>Pasich, Luis<|>Manoiloff, Irene T. de<|>Holtzman, Patricia<|>Garofalo, Juan<|>Marino, Patricia Noemí
005002;v22_Autor_personal;Marino, Patricia<|>Garófalo, Juan;Marino, Patricia Noemí<|>Garófalo, Juan
005060;v22_Autor_personal;Taibo, Lucía<|>Glasserman de Dayan, Hilda;Taibo, Lucía Noemí<|>Glasserman de Dayan, Hilda
005064;v22_Autor_personal;Behrens, Alfredo<|>Noceti, Juan J.<|>Zinelli, Teresa<|>Vázquez, Héctor J.<|>Marino, Patricia;Behrens, Alfredo<|>Noceti, Juan J.<|>Zinelli, Teresa<|>Vázquez, Héctor J.<|>Marino, Patricia Noemí
005066;v22_Autor_personal;Marino, Patricia;Marino, Patricia Noemí
005067;v22_Autor_personal;Garófalo, Juan<|>Marino, Patricia<|>Buonamico, Héctor Daniel;Garófalo, Juan<|>Marino, Patricia Noemí<|>Buonamico, Héctor Daniel
005107;v22_Autor_personal;Barella Miró, Alberto<|>Manich, Alberto M.<|>Marino, Patricia<|>Garófalo, Juan;Barella Miró, Alberto<|>Manich, Alberto M.<|>Marino, Patricia Noemí<|>Garófalo, Juan
005132;v22_Autor_personal;Barella Miró, Alberto<|>Manich, Alberto M.<|>Marino, Patricia<|>Garófalo, Juan<|>Castro, L.;Barella Miró, Alberto<|>Manich, Alberto M.<|>Marino, Patricia Noemí<|>Garófalo, Juan<|>Castro, L.
005158;v22_Autor_personal;Taibo, Lucía<|>Glasserman de Dayan, Hilda<|>Lapides, Marta;Taibo, Lucía Noemí<|>Glasserman de Dayan, Hilda<|>Lapides, Marta
