MFN;Columna;Antes;Despues
001475;v22_Autor_personal;Angel, Patricia Marta<|>Fraigi, Liliana<|>Miyagi, Paulo Eigi<|>Barreto, Marcos Pereira Ribeiro<|>Silva, José Reinaldo;Angel, Patricia Marta<|>Fraigi, Liliana Beatriz<|>Miyagi, Paulo Eigi<|>Barreto, Marcos Pereira Ribeiro<|>Silva, José Reinaldo
001872;v22_Autor_personal;Alanis, Irene Luisa<|>Berardo, Liliana N.<|>Valentini, Cristóbal R.;Alanis, Irene Luisa<|>Berardo, Liliana N.<|>Valentini, Cristobal Ramón
002216;v22_Autor_personal;Mahmud, Zulema;Mahmud, Zulema Ángela
002218;v22_Autor_personal;Boeri, Ricardo L.<|>Almandos, M.E.<|>Ciarlo, Alicia S.<|>Giannini, Daniel H.;Boeri, Ricardo Luis<|>Almandos, M.E.<|>Ciarlo, Alicia S.<|>Giannini, Daniel H.
002268;v22_Autor_personal;Mahmud, Zulema;Mahmud, Zulema Ángela
002324;v22_Autor_personal;Boeri, Ricardo L.<|>Almandos, M.E.<|>Ciarlo, Alicia S.<|>Giannini, Daniel H.;Boeri, Ricardo Luis<|>Almandos, M.E.<|>Ciarlo, Alicia S.<|>Giannini, Daniel H.
002340;v22_Autor_personal;Fraigi, Liliana<|>Lupi, Daniel<|>Malatto, L.;Fraigi, Liliana Beatriz<|>Lupi, Daniel<|>Malatto, L.
002341;v22_Autor_personal;Fraigi, Liliana<|>Gwirc, Sergio N.<|>Lupi, Daniel;Fraigi, Liliana Beatriz<|>Gwirc, Sergio N.<|>Lupi, Daniel
002350;v22_Autor_personal;Alanis, Irene Luisa<|>Berardo, Liliana N.<|>Valentini, Cristóbal R.;Alanis, Irene Luisa<|>Berardo, Liliana N.<|>Valentini, Cristobal Ramón
002357;v22_Autor_personal;Afione, Daniel<|>Galak, Marta G.<|>Novaresi, Marcelo<|>Valdés, Joaquín<|>Calbet, Carlos A.<|>Solá, Inés<|>Ariosti, Alejandro<|>Lagomarsino, Alicia S.<|>Castañeda, Roberto A.<|>Rangugni, Gustavo<|>Sismondi, Pedro;Afione, Daniel<|>Galak, Marta G.<|>Novaresi, Marcelo Pablo<|>Valdés, Joaquín<|>Calbet, Carlos A.<|>Solá, Inés<|>Ariosti, Alejandro<|>Lagomarsino, Alicia S.<|>Castañeda, Roberto Aníbal<|>Rangugni, Gustavo<|>Sismondi, Pedro
002358;v22_Autor_personal;Sismondi, Pedro<|>Calbet, Carlos A.<|>Rangugni, Gustavo<|>Ariosti, Alejandro<|>Galak, Marta G.<|>Novaresi, Marcelo;Sismondi, Pedro<|>Calbet, Carlos A.<|>Rangugni, Gustavo<|>Ariosti, Alejandro<|>Galak, Marta G.<|>Novaresi, Marcelo Pablo
002378;v22_Autor_personal;Perera, Horacio<|>Valdés, Joaquín<|>García, Beatriz<|>Dmitruk, Andrés E.<|>Schapira, Nora;Perera, Horacio<|>Valdés, Joaquín<|>García, Beatriz<|>Dmitruk, Andrés Esteban<|>Schapira, Nora
002385;v22_Autor_personal;Dmitruk, Andrés E.<|>Pappolla, Héctor;Dmitruk, Andrés Esteban<|>Pappolla, Héctor
002387;v22_Autor_personal;Pappolla, Héctor<|>Dmitruk, Andrés E.;Pappolla, Héctor<|>Dmitruk, Andrés Esteban
002395;v22_Autor_personal;Novaresi, Marcelo;Novaresi, Marcelo Pablo
002447;v22_Autor_personal;Dmitruk, Andrés E.;Dmitruk, Andrés Esteban
002534;v22_Autor_personal;Angelinetti, Alberto R.<|>Cantera, Carlos S.<|>Sofía, Alberto;Angelinetti, Alberto R.<|>Cantera, Carlos Santos<|>Sofía, Alberto
002535;v22_Autor_personal;Angelinetti, Alberto R.<|>Cantera, Carlos S.<|>Sofía, Alberto;Angelinetti, Alberto R.<|>Cantera, Carlos Santos<|>Sofía, Alberto
