MFN;Columna;Antes;Despues
035396;v22_Autor_personal;Cook, Glenn J. ;Cook, Glenn J.
035398;v43_Lugar_de_edicion;London ;London
035422;v45_Editor;Elsevier Scientific Publishing ;Elsevier Scientific Publishing
035428;v32_Reunion_Fecha;december 1-5, 1997;1997
035429;v32_Reunion_Fecha;april 15-17, 1985;1985
035430;v20_Titulo;Ultrastructure processing of ceramics, glasses, and composites ;Ultrastructure processing of ceramics, glasses, and composites
035430;v45_Editor;Wiley ;Wiley
035432;v22_Autor_personal;Billings, Keith H. ;Billings, Keith H.
035433;v32_Reunion_Fecha;October 22-23, 1963;1963
035434;v22_Autor_personal;Schutze Alonso, Oscar ;Schutze Alonso, Oscar
035442;v43_Lugar_de_edicion;Boston ;Boston
035463;v43_Lugar_de_edicion;New York ;New York
035465;v20_Titulo;Fabricación de hierro, aceros y fundiciones ;Fabricación de hierro, aceros y fundiciones
035467;v20_Titulo;Energy management in iron and steelworks ;Energy management in iron and steelworks
035471;v20_Titulo;Soñar la realidad : el constructivismo de Heinz von Foerster ;Soñar la realidad : el constructivismo de Heinz von Foerster
035471;v22_Autor_personal;Segal, Lynn ;Segal, Lynn
035472;v20_Titulo;Innovación y tradición : historia de la tecnología moderna ;Innovación y tradición : historia de la tecnología moderna
035477;v22_Autor_personal;Christian, J. W. ;Christian, J. W.
035481;v32_Reunion_Fecha;August, 1965;1965
035481;v20_Titulo;Strengthening mechanism metals and ceramics ;Strengthening mechanism metals and ceramics
035493;v43_Lugar_de_edicion;New York ;New York
035495;v43_Lugar_de_edicion;Tokyo [etc.] ;Tokyo [etc.]
035497;v22_Autor_personal;Sibigtroth, James M. ;Sibigtroth, James M.
035506;v20_Titulo;High temperature metallography ;High temperature metallography
035511;v32_Reunion_Fecha;1969, March;1969
035512;v32_Reunion_Fecha;1969, August;1969
035513;v32_Reunion_Fecha;1971, March;1971
035514;v32_Reunion_Fecha;1965, September;1965
035515;v32_Reunion_Fecha;1966, September;1966
035516;v32_Reunion_Fecha;1973, June;1973
035517;v20_Titulo;Science of hard materials : proceedings ;Science of hard materials : proceedings
035518;v20_Titulo;Experimental methods of phase diagram determination ;Experimental methods of phase diagram determination
035520;v20_Titulo;Del cobre y nuestro desafío ;Del cobre y nuestro desafío
035523;v22_Autor_personal;Bunge, Mario ;Bunge, Mario
035523;v45_Editor;Siglo XXI ;Siglo XXI
035524;v20_Titulo;Sistemas complejos: conceptos, método y fundamentación epistemológica de la investigación interdisciplinaria ;Sistemas complejos: conceptos, método y fundamentación epistemológica de la investigación interdisciplinaria
035524;v22_Autor_personal;García, Rolando ;García, Rolando
035526;v20_Titulo;Metalurgia de metales no ferrosos ;Metalurgia de metales no ferrosos
035527;v32_Reunion_Fecha;1967, June;1967
035528;v20_Titulo;The technology of ceramics and refractories ;The technology of ceramics and refractories
035528;v43_Lugar_de_edicion;Cambridge, Massachusetts ;Cambridge, Massachusetts
035528;v45_Editor; MIT ; MIT
035530;v20_Titulo;Diagnóstico de motores diesel mediante el análisis del aceite usado ;Diagnóstico de motores diesel mediante el análisis del aceite usado
035530;v22_Autor_personal;Tormos, Bernardo ;Tormos, Bernardo
035530;v43_Lugar_de_edicion;Barcelona ;Barcelona
035531;v20_Titulo;Técnica y cultura : el debate alemán entre Bismarck y Weimar ;Técnica y cultura : el debate alemán entre Bismarck y Weimar
035547;v43_Lugar_de_edicion;Englewood Cliffs, NJ ;Englewood Cliffs, NJ
035557;v22_Autor_personal;Losana, Luigi<|>Ferrer Morera, José María ;Losana, Luigi<|>Ferrer Morera, José María
035562;v32_Reunion_Fecha;24 al 28 de Octubre, 1983;1983
035565;v32_Reunion_Fecha;Mayo, 1995;1995
035567;v20_Titulo;Magneto-solid mechanics ;Magneto-solid mechanics
035567;v22_Autor_personal;Moon, Francis C. ;Moon, Francis C.
035568;v20_Titulo;El método. 2, La vida de la vida ;El método. 2, La vida de la vida
035569;v32_Reunion_Fecha;September 12-13, 1991;1991
035572;v20_Titulo;Welding of HSLA (microalloyed) structural steels : proceedings of an international conference, 9-12 November 1976, Rome, Italy ;Welding of HSLA (microalloyed) structural steels : proceedings of an international conference, 9-12 November 1976, Rome, Italy
035572;v43_Lugar_de_edicion;Metals Park ;Metals Park
035578;v32_Reunion_Fecha;November, 2007;2007
035579;v45_Editor;Pergamon ;Pergamon
035580;v20_Titulo;Principles of extractive metallurgy ;Principles of extractive metallurgy
035580;v43_Lugar_de_edicion;New York ;New York
035581;v20_Titulo;Complex metallurgy'78 : papers presented ;Complex metallurgy'78 : papers presented
