MFN;Columna;Antes;Despues
045897;v22_Autor_personal;"Colín, C.<|>Viliesid, M.<|>Chaudhary, Krishan Pal<|>Decker, J.<|>Dvo&#345;á&#269;ek, F.<|>Franca, R.<|>Ilieff, S.<|>Rodríguez, J.<|>Stoup, J.";Colín, C.<|>Viliesid, M.<|>Chaudhary, Krishan Pal<|>Decker, J.<|>Dvorácek, F.<|>Franca, R.<|>Ilieff, S.<|>Rodríguez, J.<|>Stoup, J.
045931;v22_Autor_personal;"Pratt, K. W.^rcoord.<|>Ortiz-Aparicio, J. L.<|>Matehuala-Sanchez, F. J.<|>Pawlina, M.<|>Koz&#322;owski, W.<|>Borges, Paulo<|>Silva, W.<|>Ferdman de Borinsky, Mónica Beatriz<|>Hernández, A.<|>Puelles, M.<|>Hatamleh, N.<|>Acosta, Osvaldo Héctor<|>Nunes, J.<|>Guiomar Lito, M. J.<|>Camões, Maria Filomena<|>Filipe, E.<|>Hwang, E.<|>Lim, Y.<|>Bing, Wu<|>Qian, W.<|>Chao, Wei<|>Hioki, A.<|>Asakai, Toshiaki<|>Máriássy, M.<|>Hanková, Z.<|>Nagibin, S.<|>Manska, O.<|>Gavrilkin, V.";Pratt, K. W.^rcoord.<|>Ortiz-Aparicio, J. L.<|>Matehuala-Sanchez, F. J.<|>Pawlina, M.<|>Kozlowski, W.<|>Borges, Paulo<|>Silva, W.<|>Ferdman de Borinsky, Mónica Beatriz<|>Hernández, A.<|>Puelles, M.<|>Hatamleh, N.<|>Acosta, Osvaldo Héctor<|>Nunes, J.<|>Guiomar Lito, M. J.<|>Camões, Maria Filomena<|>Filipe, E.<|>Hwang, E.<|>Lim, Y.<|>Bing, Wu<|>Qian, W.<|>Chao, Wei<|>Hioki, A.<|>Asakai, Toshiaki<|>Máriássy, M.<|>Hanková, Z.<|>Nagibin, S.<|>Manska, O.<|>Gavrilkin, V.
045981;v22_Autor_personal;"Burgueño, Víctor Alejandro<|>Dieguez; T.<|>Svoboda, Hernán Gabriel";Burgueño, Víctor Alejandro<|>Dieguez, T.<|>Svoboda, Hernán Gabriel
046003;v22_Autor_personal;"Dieguez; T.<|>Burgueño, Víctor Alejandro<|>Svoboda, Hernán Gabriel";Dieguez, T.<|>Burgueño, Víctor Alejandro<|>Svoboda, Hernán Gabriel
049122;v22_Autor_personal;"Speranza, Jorge<|>Castañeda, Roberto Aníbal<|>Muset, Graciela<|>Maggiore, Agustina<|>González, Marcelo<|>Labacá, Patricia;<|>Rodríguez, Gabriela<|>Fornero, Pedro<|>Junges, Omar";Speranza, Jorge<|>Castañeda, Roberto Aníbal<|>Muset, Graciela<|>Maggiore, Agustina<|>González, Marcelo<|>Labacá, Patricia<|>Rodríguez, Gabriela<|>Fornero, Pedro<|>Junges, Omar
049757;v22_Autor_personal;"Cerchiai, Edgar<|>Claros, S.<|>Ciurletti, Cristián Ricardo<|>Cerutti Antonietti, Pablo<|>Caballero Arancibia, Maximiliano Fabián<|>Castillo, Silvana Soledad<|>Espejo, C.<|>Neuilly, R.;<|>Fernández, M.<|>Herrera, C.<|>Santi, Analía Gabriela";Cerchiai, Edgar<|>Claros, S.<|>Ciurletti, Cristián Ricardo<|>Cerutti Antonietti, Pablo<|>Caballero Arancibia, Maximiliano Fabián<|>Castillo, Silvana Soledad<|>Espejo, C.<|>Neuilly, R.<|>Fernández, M.<|>Herrera, C.<|>Santi, Analía Gabriela
050316;v22_Autor_personal;"Goren, A. C.<|>Gokcen, T.<|>Gunduz, S.<|>Bilsel, Gökhan<|>Koch, M.<|>Kakoulides, E.<|>Giannikopoulou, P.<|>Tang Wai-tong, G.<|>Chan, Andy<|>Kneeteman, E.<|>Mugenya, I.<|>Mur&#305;&#305;ra, G.<|>Boonyakong, Cheerapa<|>Fernandes-Whaley, M.<|>Krylov, A.<|>Mikheeva, A.";Goren, A. C.<|>Gokcen, T.<|>Gunduz, S.<|>Bilsel, Gökhan<|>Koch, M.<|>Kakoulides, E.<|>Giannikopoulou, P.<|>Tang Wai-tong, G.<|>Chan, Andy<|>Kneeteman, E.<|>Mugenya, I.<|>Muriira, G.<|>Boonyakong, Cheerapa<|>Fernandes-Whaley, M.<|>Krylov, A.<|>Mikheeva, A.
050347;v22_Autor_personal;"Viliesid, M.<|>Colín Castellanos, Carlos<|>Chávez, T.<|>Chaudhary, Krishan Pal<|>Dvo&#345;á&#269;ek, F.<|>Stoup, J.<|>Santos Barros, W.<|>Vaudagna, L.<|>Morales, R.<|>Acquarone, A.<|>Carrasco Tuesta, Janet<|>Vega Amonzabel, María del Carmen<|>Salazar, M.<|>Gil, V.<|>Dimas, J.<|>Reyes, E.<|>Hamilton, F.<|>Reddock, T.<|>Durga, Siew<|>Burton, Tomokie";Viliesid, M.<|>Colín Castellanos, Carlos<|>Chávez, T.<|>Chaudhary, Krishan Pal<|>Dvorácek, F.<|>Stoup, J.<|>Santos Barros, W.<|>Vaudagna, L.<|>Morales, R.<|>Acquarone, A.<|>Carrasco Tuesta, Janet<|>Vega Amonzabel, María del Carmen<|>Salazar, M.<|>Gil, V.<|>Dimas, J.<|>Reyes, E.<|>Hamilton, F.<|>Reddock, T.<|>Durga, Siew<|>Burton, Tomokie
050449;v22_Autor_personal;"Pratt, K. W.<|>Ortiz-Aparicio, J. L.<|>Matehuala-Sanchez, F. J.<|>Pawlina, M.<|>Koz&#322;owski, W.<|>Borges, Paulo<|>Silva Junior, W. B. da.<|>Ferdman de Borinsky, Mónica Beatriz<|>Hernández, A.<|>Puelles, M.<|>Hatamleh, N.<|>Acosta, Osvaldo Héctor<|>Nunes, J.<|>Guiomar Lito, M. J.<|>Camões, Maria Filomena<|>Filipe, E.<|>Hwang, E.<|>Lim, Y.<|>Bing, Wu<|>Qian, W.<|>Chao, Wei<|>Hioki, A.<|>Asakai, Toshiaki<|>Máriássy, M.<|>Hanková, Z.<|>Nagibin, S.<|>Manska, O.<|>Gavrilkin, V.<|>Kutovoy, V.";Pratt, K. W.<|>Ortiz-Aparicio, J. L.<|>Matehuala-Sanchez, F. J.<|>Pawlina, M.<|>Kozlowski, W.<|>Borges, Paulo<|>Silva Junior, W. B. da.<|>Ferdman de Borinsky, Mónica Beatriz<|>Hernández, A.<|>Puelles, M.<|>Hatamleh, N.<|>Acosta, Osvaldo Héctor<|>Nunes, J.<|>Guiomar Lito, M. J.<|>Camões, Maria Filomena<|>Filipe, E.<|>Hwang, E.<|>Lim, Y.<|>Bing, Wu<|>Qian, W.<|>Chao, Wei<|>Hioki, A.<|>Asakai, Toshiaki<|>Máriássy, M.<|>Hanková, Z.<|>Nagibin, S.<|>Manska, O.<|>Gavrilkin, V.<|>Kutovoy, V.
