MFN;Columna;Antes;Despues
000011;v40_Idioma;eng<|>fra<|>deu<|>ru<|>spa;eng<|>fra<|>deu<|>rus<|>spa
000223;v40_Idioma;eng<|>ru;eng<|>rus
000241;v40_Idioma;eng<|>ru;eng<|>rus
000251;v40_Idioma;eng<|>fra<|>deu<|>ru<|>spa<|>pl;eng<|>fra<|>deu<|>rus<|>spa<|>pl
000259;v40_Idioma;eng<|>spa<|>ru<|>fra<|>deu;eng<|>spa<|>rus<|>fra<|>deu
000260;v40_Idioma;eng<|>fra<|>deu<|>ru<|>ita<|>spa<|>por;eng<|>fra<|>deu<|>rus<|>ita<|>spa<|>por
000278;v40_Idioma;eng<|>deu<|>fra<|>spa<|>ita<|>por<|>ru;eng<|>deu<|>fra<|>spa<|>ita<|>por<|>rus
000290;v40_Idioma;eng<|>fra<|>spa<|>deu<|>ita<|>no<|>ru;eng<|>fra<|>spa<|>deu<|>ita<|>no<|>rus
000297;v40_Idioma;eng<|>deu<|>ru<|>pl;eng<|>deu<|>rus<|>pl
000307;v40_Idioma;eng<|>fra<|>spa<|>ita<|>por<|>deu<|>nl<|>sv<|>id<|>ja;eng<|>fra<|>spa<|>ita<|>por<|>deu<|>nl<|>sv<|>id<|>jpn
000322;v40_Idioma;ru<|>spa;rus<|>spa
000323;v40_Idioma;spa<|>ru;spa<|>rus
000355;v40_Idioma;spa<|>deu<|>eng<|>fra<|>ru;spa<|>deu<|>eng<|>fra<|>rus
000356;v40_Idioma;spa<|>eng<|>deu<|>fra<|>ru;spa<|>eng<|>deu<|>fra<|>rus
000369;v40_Idioma;pl<|>fra<|>deu<|>ru<|>eng;pl<|>fra<|>deu<|>rus<|>eng
000381;v40_Idioma;eng<|>ru<|>cs;eng<|>rus<|>cs
002180;v40_Idioma;eng<|>ar<|>zh<|>fra<|>ru<|>spa;eng<|>ar<|>zh<|>fra<|>rus<|>spa
010808;v40_Idioma;eng<|>jp;eng<|>jpn
014055;v40_Idioma;eng<|>ru;eng<|>rus
014295;v40_Idioma;spa<|>eng<|>jp;spa<|>eng<|>jpn
014649;v40_Idioma;eng<|>fra<|>deu<|>spa<|>jp;eng<|>fra<|>deu<|>spa<|>jpn
014726;v40_Idioma;eng<|>jp;eng<|>jpn
014811;v40_Idioma;eng<|>su<|>deu<|>fra<|>jp;eng<|>su<|>deu<|>fra<|>jpn
014819;v40_Idioma;eng<|>deu<|>fra<|>spa<|>jp;eng<|>deu<|>fra<|>spa<|>jpn
014829;v40_Idioma;fra<|>eng<|>spa<|>ita<|>ru<|>nl;fra<|>eng<|>spa<|>ita<|>rus<|>nl
014845;v40_Idioma;eng<|>deu<|>fra<|>ru<|>spa;eng<|>deu<|>fra<|>rus<|>spa
016500;v40_Idioma;fra<|>eng<|>deu<|>ru;fra<|>eng<|>deu<|>rus
017095;v40_Idioma;eng<|>fra<|>deu<|>ru;eng<|>fra<|>deu<|>rus
018412;v40_Idioma;jp;jpn
026641;v40_Idioma;ca;cat
026650;v40_Idioma;ca;cat
027084;v40_Idioma;Pt;por
028847;v33_Titulo_de_serie_o_coleccion;"^31;30/05/2007";
036021;v40_Idioma;eng<|>jp;eng<|>jpn
036284;v40_Idioma;ITALIANO;ita
036285;v40_Idioma;ITALIANO;ita
036286;v40_Idioma;ITALIANO;ita
036288;v40_Idioma;FRANCES;fra
037158;v40_Idioma;eng<|>fra<|>spa<|>ita<|>por<|>deu<|>nl<|>sv<|>id<|>ja;eng<|>fra<|>spa<|>ita<|>por<|>deu<|>nl<|>sv<|>id<|>jpn
037621;v40_Idioma;Pt;por
038583;v40_Idioma;ITALIANO;ita
038584;v40_Idioma;ITALIANO;ita
038585;v40_Idioma;ITALIANO;ita
042180;v40_Idioma;ca;cat
042478;v40_Idioma;ca<|>spa<|>eng;cat<|>spa<|>eng
044554;v40_Idioma;ca;cat
044555;v40_Idioma;ca;cat
044556;v40_Idioma;ca;cat
049042;v40_Idioma;eng<|>fra<|>deu<|>ita<|>ru<|>spa;eng<|>fra<|>deu<|>ita<|>rus<|>spa
049162;v40_Idioma;po<|>spa;por<|>spa
049217;v40_Idioma;po;por
049320;v40_Idioma;eng<|>po;eng<|>por
049349;v40_Idioma;po;por
049462;v40_Idioma;po;por
049467;v40_Idioma;po;por
049468;v40_Idioma;po;por
049477;v40_Idioma;po;por
023558;v100_Codigo_bd;CITENEM;CATX
