MFN;Columna;Antes;Despues
013403;v26_Afiliacion_del_autor;^aDmitruk, Andrés^nInstituto Nacional de Tecnología Industrial^sINTI^pArgentina;^aDmitruk, Andrés Esteban^nInstituto Nacional de Tecnología Industrial^sINTI^pArgentina
021187;v26_Afiliacion_del_autor;^aDmitruk, Andrés^nInstituto Nacional de Tecnología Industrial^sINTI^pArgentina;^aDmitruk, Andrés Esteban^nInstituto Nacional de Tecnología Industrial^sINTI^pArgentina
039960;v26_Afiliacion_del_autor;^aÁlvarez, Jorge José^nInstituto Nacional de Tecnología Industrial^sINTI^pArgentina;^aÁlvarez, José Jorge Enrique^nInstituto Nacional de Tecnología Industrial^sINTI^pArgentina
040481;v26_Afiliacion_del_autor;^aMelo, R.^nInstituto Nacional de Tecnología Industrial. Centro de Electrónica e Informática^sINTI-Electrónica e Informática^pArgentina<|>^aTropea, S. E.^nInstituto Nacional de Tecnología Industrial. Centro de Electrónica e Informática^sINTI-Electrónica e Informática^pArgentina;^aMelo, R.^nInstituto Nacional de Tecnología Industrial. Centro de Electrónica e Informática^sINTI-Electrónica e Informática^pArgentina<|>^aTropea, Salvador Eduardo^nInstituto Nacional de Tecnología Industrial. Centro de Electrónica e Informática^sINTI-Electrónica e Informática^pArgentina
040482;v26_Afiliacion_del_autor;^aHuy, C.^nInstituto Nacional de Tecnología Industrial. Centro de Electrónica e Informática^sINTI-Electrónica e Informática^pArgentina<|>^aBrengi, D.^nInstituto Nacional de Tecnología Industrial. Centro de Electrónica e Informática^sINTI-Electrónica e Informática^pArgentina;^aHuy, C.^nInstituto Nacional de Tecnología Industrial. Centro de Electrónica e Informática^sINTI-Electrónica e Informática^pArgentina<|>^aBrengi, Diego Javier^nInstituto Nacional de Tecnología Industrial. Centro de Electrónica e Informática^sINTI-Electrónica e Informática^pArgentina
040483;v26_Afiliacion_del_autor;^aCaruso, D.^nInstituto Nacional de Tecnología Industrial. Centro de Electrónica e Informática^sINTI-Electrónica e Informática^pArgentina<|>^aTropea, S. E.^nInstituto Nacional de Tecnología Industrial. Centro de Electrónica e Informática^sINTI-Electrónica e Informática^pArgentina;^aCaruso, David Misael^nInstituto Nacional de Tecnología Industrial. Centro de Electrónica e Informática^sINTI-Electrónica e Informática^pArgentina<|>^aTropea, Salvador Eduardo^nInstituto Nacional de Tecnología Industrial. Centro de Electrónica e Informática^sINTI-Electrónica e Informática^pArgentina
040484;v26_Afiliacion_del_autor;^aGwirc, S.^nInstituto Nacional de Tecnología Industrial. Centro de Electrónica e Informática^sINTI-Electrónica e Informática^pArgentina<|>^aMariño, N.^nInstituto Nacional de Tecnología Industrial. Centro de Electrónica e Informática^sINTI-Electrónica e Informática^pArgentina;^aGwirc, S.^nInstituto Nacional de Tecnología Industrial. Centro de Electrónica e Informática^sINTI-Electrónica e Informática^pArgentina<|>^aMariño, Néstor Raúl^nInstituto Nacional de Tecnología Industrial. Centro de Electrónica e Informática^sINTI-Electrónica e Informática^pArgentina
040574;v26_Afiliacion_del_autor;^aÁlvarez, Jorge José^nInstituto Nacional de Tecnología Industrial^sINTI^pArgentina;^aÁlvarez, José Jorge Enrique^nInstituto Nacional de Tecnología Industrial^sINTI^pArgentina
040619;v26_Afiliacion_del_autor;^aBlanco Massani, M.^nConsejo Nacional de Investigaciones Científicas y Técnicas. Centro de Referencia para Lactobacilos^sCERELA-CONICET^pArgentina<|>^aFernández, M. R.^nInstituto Nacional de Tecnología Industrial. INTI-Plásticos^pArgentina<|>^aAriosti, A.^nInstituto Nacional de Tecnología Industrial. INTI-Plásticos^pArgentina<|>^aEisenberg. P.^nInstituto Nacional de Tecnología Industrial. INTI-Plásticos^pArgentina<|>^aVignolo, G.^nConsejo Nacional de Investigaciones Científicas y Técnicas. Centro de Referencia para Lactobacilos^sCERELA-CONICET^pArgentina;^aBlanco Massani, Mariana Raquel^nConsejo Nacional de Investigaciones Científicas y Técnicas. Centro de Referencia para Lactobacilos^sCERELA-CONICET^pArgentina<|>^aFernández, M. R.^nInstituto Nacional de Tecnología Industrial. INTI-Plásticos^pArgentina<|>^aAriosti, A.^nInstituto Nacional de Tecnología Industrial. INTI-Plásticos^pArgentina<|>^aEisenberg. P.^nInstituto Nacional de Tecnología Industrial. INTI-Plásticos^pArgentina<|>^aVignolo, Graciela Margarita^nConsejo Nacional de Investigaciones Científicas y Técnicas. Centro de Referencia para Lactobacilos^sCERELA-CONICET^pArgentina
040785;v26_Afiliacion_del_autor;^aWetzler, D. E.^nUniversidad de Buenos Aires. Facultad de Ciencias Exactas y Naturales. Departamento de Química Biológica^pArgentina<|>^aComin, M. J.^nInstituto Nacional de Tecnología Industrial. INTI-Química^pArgentina<|>^aKrajewski, K.^nUniversity of North Carolina. School of Medicine^pEstados Unidos<|>^aGallo, M.^nFundación Instituto Leloir^pArgentina;^aWetzler, Diana E.^nUniversidad de Buenos Aires. Facultad de Ciencias Exactas y Naturales. Departamento de Química Biológica^pArgentina<|>^aComin, María Julieta^nInstituto Nacional de Tecnología Industrial. INTI-Química^pArgentina<|>^aKrajewski, K.^nUniversity of North Carolina. School of Medicine^pEstados Unidos<|>^aGallo, M.^nFundación Instituto Leloir^pArgentina
