MFN;Columna;Antes;Despues
001416;v22_Autor_personal;Geuskens, G.^ed.;Geuskens, G.^red.
001417;v22_Autor_personal;Hopfenberg, Harold B.^ed.;Hopfenberg, Harold B.^red.
004650;v23_Autor_institucional;^nCentro de Investigación Tecnológica de la Industria del Caucho^sCITIC^lBuenos Aires^pAR^;^nCentro de Investigación Tecnológica de la Industria del Caucho^sCITIC^lBuenos Aires^pAR
018482;v23_Autor_institucional;^nVolunteers in Technical Assistance^sVITA^;^nVolunteers in Technical Assistance^sVITA
019125;v22_Autor_personal;^aRecalde, Ildefonso;Recalde, Ildefonso
023886;v22_Autor_personal;Queneau, Paul^Red.;Queneau, Paul^red.
024205;v22_Autor_personal;Little, Robert W.^Red.;Little, Robert W.^red.
037951;v22_Autor_personal;Chaussin, C.<|>Hilly, G.<|>Chevenard, P.<|>Fernández Aguilar, A.^trad.;Chaussin, C.<|>Hilly, G.<|>Chevenard, P.<|>Fernández Aguilar, A.^rtrad.
038596;v22_Autor_personal;NEUFERT, Ernst<|>Neufert, Peter^sed.;NEUFERT, Ernst<|>Neufert, Peter^red.
038611;v22_Autor_personal;Rodrigo S., Patricio^red. <|>Sandoval O., Hernán^ed.<|>Silva D., Carmen^red.;Rodrigo S., Patricio^red. <|>Sandoval O., Hernán^red.<|>Silva D., Carmen^red.
040652;v22_Autor_personal;Miranda, M.J.<|>Corti, G.<|>Barda, N.<|>Muzzas, G.<|>Gallina, M.<|>^sEEA INTA Alto Valle^lAllen, Río Negro^pAR;Miranda, M.J.<|>Corti, G.<|>Barda, N.<|>Muzzas, G.<|>Gallina, M.
046440;v22_Autor_personal;Thorstensen, Thomas C.^dir.;Thorstensen, Thomas C.^rdir.
046457;v22_Autor_personal;Thorstensen, Thomas C.^dir.;Thorstensen, Thomas C.^rdir.
046532;v22_Autor_personal;^nSecretaría de Agricultura, Ganadería, Pesca y Alimentos^sSAGPyA^lBuenos Aires^pAR;
049266;v22_Autor_personal;Witte, U^ncomp.;Witte, U^rcomp.
049267;v22_Autor_personal;Whitaker, Stephen ^ned.<|>Cassano, Alberto E. ^ned.;Whitaker, Stephen ^red.<|>Cassano, Alberto E. ^red.
049269;v22_Autor_personal;Hall, D. O ^ned.<|>Overend, R. P. ^ned.;Hall, D. O ^red.<|>Overend, R. P. ^red.
049270;v22_Autor_personal;Reed, T.B^ned.;Reed, T.B^red.
049275;v22_Autor_personal;Moss de Souza, H^nOrg<|>Castro da Silva, Patricia^nOrg<|>Marques Dutra, Ricardo^nOrg;Moss de Souza, H^rorg.<|>Castro da Silva, Patricia^rorg.<|>Marques Dutra, Ricardo^rorg.
049316;v53_Tesis_Inst_grado_fecha;^nUniversidad Nacional de San Martín. Escuela de ciencia y tecnología ^gLicenciatura^2013;^nUniversidad Nacional de San Martín. Escuela de ciencia y tecnología ^gLicenciatura^f2013
049317;v22_Autor_personal;Massetti, Astor^ncomp.<|>Villanueva, Ernesto^ncomp.<|>Gómez, Marcelo^ncomp.;Massetti, Astor^rcomp.<|>Villanueva, Ernesto^rcomp.<|>Gómez, Marcelo^rcomp.
049337;v22_Autor_personal;Socolovsky, Leo<|>Socolovsky, Paula^ecomp.;Socolovsky, Leo<|>Socolovsky, Paula^rcomp.
049343;v22_Autor_personal;Packer, Lester^ncomp.<|>Hiramatsu,  Midori^ncomp.<|>Yoshikawa, Toshikazu^ncomp.;Packer, Lester^rcomp.<|>Hiramatsu,  Midori^rcomp.<|>Yoshikawa, Toshikazu^rcomp.
049345;v22_Autor_personal;Jelkmann, Wolfgang^ned.<|>Gross, Andreas J^ned.;Jelkmann, Wolfgang^red.<|>Gross, Andreas J^red.
049375;v22_Autor_personal;Berchon, Mathilde<|>Luyt, Bertier^ecol.;Berchon, Mathilde<|>Luyt, Bertier^rcol.
049450;v22_Autor_personal;Demaría, M.<|>Bessone, N.<|>Murphy, M.<|>López, M.<|>Roldán, G.<|>Cortes, M.^ccomp.;Demaría, M.<|>Bessone, N.<|>Murphy, M.<|>López, M.<|>Roldán, G.<|>Cortes, M.^rcomp.
049451;v22_Autor_personal;Demaría, M.<|>Bessone, N.<|>Murphy, M.<|>López, M.<|>Roldán, G.<|>Cortes, M.^ccomp.;Demaría, M.<|>Bessone, N.<|>Murphy, M.<|>López, M.<|>Roldán, G.<|>Cortes, M.^rcomp.
049452;v22_Autor_personal;Demaría, M.<|>Bessone, N.<|>Murphy, M.<|>López, M.<|>Roldán, G.<|>Cortes, M.^ccomp.;Demaría, M.<|>Bessone, N.<|>Murphy, M.<|>López, M.<|>Roldán, G.<|>Cortes, M.^rcomp.
050372;v26_Afiliacion_del_autor;^aCaligiuri, L. G.^nUniversidad Nacional de La Plata. Facultad de Ciencias Exactas^sUNLP^pArgentina<|>^aSandoval, A.E.^nInstituto Nacional de Tecnología Industrial^sINTI^lBuenos Aires^pArgentina<|>^aMiranda, J. C.^nFundação Oswaldo Cruz^pBrasil<|>^aPessoa, F. A.^nFundação Oswaldo Cruz^pBrasil<|>^aSantini, M. S.^nAdministración Nacional de Laboratorios e Institutos de Salud Dr. Carlos G. Malbrán^sANLIS^bBuenos Aires^pArgentina<|>^aSalomón, O. D.^nInstituto Nacional de Medicina Tropical^lPuerto Iguazú^pArgentina<|>^aSecundino, N. F. C.^nFundação Oswaldo Cruz^pBrasil<|>^aMcCarthy, C. B.^nUniversidad Nacional de La Plata. Facultad de Ciencias Exactas^sUNLP^pArgentina;^aCaligiuri, L. G.^nUniversidad Nacional de La Plata. Facultad de Ciencias Exactas^sUNLP^pArgentina<|>^aSandoval, A.E.^nInstituto Nacional de Tecnología Industrial^sINTI^lBuenos Aires^pArgentina<|>^aMiranda, J. C.^nFundação Oswaldo Cruz^pBrasil<|>^aPessoa, F. A.^nFundação Oswaldo Cruz^pBrasil<|>^aSantini, M. S.^nAdministración Nacional de Laboratorios e Institutos de Salud Dr. Carlos G. Malbrán^sANLIS^lBuenos Aires^pArgentina<|>^aSalomón, O. D.^nInstituto Nacional de Medicina Tropical^lPuerto Iguazú^pArgentina<|>^aSecundino, N. F. C.^nFundação Oswaldo Cruz^pBrasil<|>^aMcCarthy, C. B.^nUniversidad Nacional de La Plata. Facultad de Ciencias Exactas^sUNLP^pArgentina
051059;v22_Autor_personal;^aAllami, Alberto<|>^aLens, José Luis^rcol.;Allami, Alberto<|>Lens, José Luis^rcol.
