MFN;Columna;Antes;Despues
007634;v22_Autor_personal;^nSEDIAC;
007634;v23_Autor_institucional;;^nSEDIAC
038898;v22_Autor_personal;^nCentro de Documentacion de Arte y Arquitectura Latinoamericana^sCEDODAL^lBuenos Aires^pAR;
038898;v23_Autor_institucional;;^nCentro de Documentacion de Arte y Arquitectura Latinoamericana^sCEDODAL^lBuenos Aires^pAR
045885;v22_Autor_personal;^nAmerican Cyanamid Company Petrochemicals Departament^lNew York^pUS;
045885;v23_Autor_institucional;;^nAmerican Cyanamid Company Petrochemicals Departament^lNew York^pUS
