MFN;Columna;Antes;Despues
000010;v6_Nivel_de_referencia;a;s
002242;v6_Nivel_de_referencia;S;s
007098;v6_Nivel_de_referencia;c;m
007099;v6_Nivel_de_referencia;c;m
007100;v6_Nivel_de_referencia;c;m
007101;v6_Nivel_de_referencia;c;m
007102;v6_Nivel_de_referencia;c;m
007103;v6_Nivel_de_referencia;c;m
007104;v6_Nivel_de_referencia;c;m
007105;v6_Nivel_de_referencia;c;m
007106;v6_Nivel_de_referencia;c;m
007107;v6_Nivel_de_referencia;c;m
007108;v6_Nivel_de_referencia;c;m
007110;v6_Nivel_de_referencia;c;m
007111;v6_Nivel_de_referencia;c;m
007112;v6_Nivel_de_referencia;c;m
007113;v6_Nivel_de_referencia;c;m
007115;v6_Nivel_de_referencia;c;m
007117;v6_Nivel_de_referencia;c;m
007118;v6_Nivel_de_referencia;c;m
007119;v6_Nivel_de_referencia;c;m
007120;v6_Nivel_de_referencia;c;m
007121;v6_Nivel_de_referencia;c;m
007122;v6_Nivel_de_referencia;c;m
007123;v6_Nivel_de_referencia;c;m
007124;v6_Nivel_de_referencia;c;m
007125;v6_Nivel_de_referencia;c;m
007126;v6_Nivel_de_referencia;c;m
014851;v6_Nivel_de_referencia;c;m
014852;v6_Nivel_de_referencia;c;m
014853;v6_Nivel_de_referencia;c;m
014854;v6_Nivel_de_referencia;c;m
016162;v6_Nivel_de_referencia;sç;s
016163;v6_Nivel_de_referencia;ss;s
016165;v6_Nivel_de_referencia;ss;s
016382;v6_Nivel_de_referencia;çç;m
017265;v6_Nivel_de_referencia;c;m
017266;v6_Nivel_de_referencia;c;m
017267;v6_Nivel_de_referencia;c;m
017268;v6_Nivel_de_referencia;c;m
017269;v6_Nivel_de_referencia;c;m
017270;v6_Nivel_de_referencia;c;m
017271;v6_Nivel_de_referencia;c;m
017272;v6_Nivel_de_referencia;c;m
017273;v6_Nivel_de_referencia;c;m
017274;v6_Nivel_de_referencia;c;m
017275;v6_Nivel_de_referencia;c;m
017276;v6_Nivel_de_referencia;c;m
017277;v6_Nivel_de_referencia;c;m
017278;v6_Nivel_de_referencia;c;m
017279;v6_Nivel_de_referencia;c;m
017280;v6_Nivel_de_referencia;c;m
017281;v6_Nivel_de_referencia;c;m
017282;v6_Nivel_de_referencia;c;m
017283;v6_Nivel_de_referencia;c;m
017284;v6_Nivel_de_referencia;c;m
017285;v6_Nivel_de_referencia;c;m
017639;v6_Nivel_de_referencia;c;m
018084;v6_Nivel_de_referencia;c;m
018085;v6_Nivel_de_referencia;c;m
018466;v6_Nivel_de_referencia;c;s
018467;v6_Nivel_de_referencia;c;s
018468;v6_Nivel_de_referencia;c;s
018469;v6_Nivel_de_referencia;c;s
018470;v6_Nivel_de_referencia;c;s
018471;v6_Nivel_de_referencia;c;s
019600;v6_Nivel_de_referencia;c;m
020652;v6_Nivel_de_referencia;c;m
020694;v6_Nivel_de_referencia;c;m
020725;v6_Nivel_de_referencia;c;m
020726;v6_Nivel_de_referencia;c;m
020727;v6_Nivel_de_referencia;c;m
021685;v6_Nivel_de_referencia;c;m
021686;v6_Nivel_de_referencia;c;m
021687;v6_Nivel_de_referencia;c;m
021691;v6_Nivel_de_referencia;c;m
021692;v6_Nivel_de_referencia;c;m
021693;v6_Nivel_de_referencia;c;m
021694;v6_Nivel_de_referencia;c;m
021695;v6_Nivel_de_referencia;c;m
021696;v6_Nivel_de_referencia;c;m
021697;v6_Nivel_de_referencia;c;m
022874;v6_Nivel_de_referencia;c;m
023160;v6_Nivel_de_referencia;c;m
023161;v6_Nivel_de_referencia;c;m
023162;v6_Nivel_de_referencia;c;m
023163;v6_Nivel_de_referencia;c;m
023164;v6_Nivel_de_referencia;c;m
023176;v6_Nivel_de_referencia;c;m
023177;v6_Nivel_de_referencia;c;m
023178;v6_Nivel_de_referencia;c;m
023179;v6_Nivel_de_referencia;c;m
023180;v6_Nivel_de_referencia;c;m
023181;v6_Nivel_de_referencia;c;m
023182;v6_Nivel_de_referencia;c;m
023199;v6_Nivel_de_referencia;c;m
023200;v6_Nivel_de_referencia;c;m
023201;v6_Nivel_de_referencia;c;m
023202;v6_Nivel_de_referencia;c;m
025179;v6_Nivel_de_referencia;c;m
025180;v6_Nivel_de_referencia;c;m
025181;v6_Nivel_de_referencia;c;m
025183;v6_Nivel_de_referencia;c;m
