MFN;Columna;Antes;Despues
004995;v6_Nivel_de_referencia;,;s
007267;v6_Nivel_de_referencia;c;s
015570;v6_Nivel_de_referencia;se;s
025895;v6_Nivel_de_referencia;c;m
036381;v6_Nivel_de_referencia;;s
036466;v6_Nivel_de_referencia;;s
037364;v6_Nivel_de_referencia;c;m
040388;v6_Nivel_de_referencia;c;m
040389;v6_Nivel_de_referencia;c;m
040390;v6_Nivel_de_referencia;c;m
040391;v6_Nivel_de_referencia;c;m
040392;v6_Nivel_de_referencia;c;m
040393;v6_Nivel_de_referencia;c;m
040394;v6_Nivel_de_referencia;c;m
041034;v6_Nivel_de_referencia;;s
044135;v6_Nivel_de_referencia;c;m
046476;v6_Nivel_de_referencia;c;m
046477;v6_Nivel_de_referencia;c;m
046478;v6_Nivel_de_referencia;c;m
046479;v6_Nivel_de_referencia;c;m
046480;v6_Nivel_de_referencia;c;m
046481;v6_Nivel_de_referencia;c;m
046482;v6_Nivel_de_referencia;c;m
049243;v6_Nivel_de_referencia;a;s
