MFN;Columna;Antes;Despues
000004;v85_Disponibilidad;préstamo;Préstamo
000010;v85_Disponibilidad;préstamo;Préstamo
000441;v22_Autor_personal;Multon, J.L.^rCoord.;Multon, J.L.^rcoord.
000838;v22_Autor_personal;Newman, James R.^rcomp;Newman, James R.^rcomp.
000925;v22_Autor_personal;Hook, Sidney^red;Hook, Sidney^red.
000996;v22_Autor_personal;Williams, L.Pearce^red;Williams, L.Pearce^red.
001067;v22_Autor_personal;Salam, Abdus<|>Wigner, E.P.^red<|>Dirac, P.A.M.;Salam, Abdus<|>Wigner, E.P.^red.<|>Dirac, P.A.M.
001068;v22_Autor_personal;Lapp, Ralph E.^red;Lapp, Ralph E.^red.
001180;v22_Autor_personal;Hoyt, Samuel L.^red;Hoyt, Samuel L.^red.
001215;v22_Autor_personal;Rozental, S^red;Rozental, S^red.
001229;v22_Autor_personal;Albin, Michel^red;Albin, Michel^red.
001258;v22_Autor_personal;Poucher, W.A.<|>Jouhar, A.J.^red<|>Butler, Hilda^red;Poucher, W.A.<|>Jouhar, A.J.^red.<|>Butler, Hilda^red.
001259;v22_Autor_personal;Rees, J.A.G.<|>Bettison, J.^reds;Rees, J.A.G.<|>Bettison, J.^reds.
001263;v22_Autor_personal;Paszyc, Stefan^red;Paszyc, Stefan^red.
001264;v22_Autor_personal;Hearn, Milton<|>Regnier, Fred<|>Unger, Klaus^reds;Hearn, Milton<|>Regnier, Fred<|>Unger, Klaus^reds.
001400;v22_Autor_personal;Carlson, Albert S.^red;Carlson, Albert S.^red.
001404;v22_Autor_personal;Goldsmith, Maurice^red;Goldsmith, Maurice^red.
001415;v22_Autor_personal;Hughlett, Lloyd J.^red;Hughlett, Lloyd J.^red.
002012;v22_Autor_personal;Howard, William G.<|>Guile, Bruce, R.^reds;Howard, William G.<|>Guile, Bruce, R.^reds.
002322;v85_Disponibilidad;consulta in situ;Consulta in situ
003125;v22_Autor_personal;Ballerini, Eduardo S.<|>Cohen, Edgardo<|>Godel, Alberto M.<|>Lladós, José María<|>Nochteff, Hugo<|>Otero, Raúl<|>Eichinger, Peter<|>Frensch, Karl.-J.<|>Lindner, Eric<|>Koch, Kaufmann D.<|>Niemann, Gerhard<|>Reiter, Gerhard E.<|>Salmang, Denny<|>Schlesinger, Bernhard<|>Schmitt, Manfred<|>Schober, Joachim<|>Dmitruk, Andrés E.^rdir<|>Vornehm, Hermann^rdir.;Ballerini, Eduardo S.<|>Cohen, Edgardo<|>Godel, Alberto M.<|>Lladós, José María<|>Nochteff, Hugo<|>Otero, Raúl<|>Eichinger, Peter<|>Frensch, Karl.-J.<|>Lindner, Eric<|>Koch, Kaufmann D.<|>Niemann, Gerhard<|>Reiter, Gerhard E.<|>Salmang, Denny<|>Schlesinger, Bernhard<|>Schmitt, Manfred<|>Schober, Joachim<|>Dmitruk, Andrés E.^rdir.<|>Vornehm, Hermann^rdir.
007454;v85_Disponibilidad;Prestamo;Préstamo
007857;v85_Disponibilidad;Prestamo;Préstamo
007884;v85_Disponibilidad;Prestamo;Préstamo
007885;v85_Disponibilidad;Prestamo;Préstamo
007891;v85_Disponibilidad;Prestamo;Préstamo
007899;v85_Disponibilidad;Prestamo;Préstamo
007902;v85_Disponibilidad;Prestamo;Préstamo
007907;v85_Disponibilidad;Prestamo;Préstamo
007914;v85_Disponibilidad;Prestamo;Préstamo
007919;v85_Disponibilidad;Prestamo;Préstamo
007921;v85_Disponibilidad;Prestamo;Préstamo
007923;v85_Disponibilidad;Prestamo;Préstamo
007926;v85_Disponibilidad;Prestamo;Préstamo
007928;v85_Disponibilidad;Prestamo;Préstamo
007929;v85_Disponibilidad;Prestamo;Préstamo
007931;v85_Disponibilidad;Prestamo;Préstamo
007932;v85_Disponibilidad;Prestamo;Préstamo
007934;v85_Disponibilidad;Prestamo;Préstamo
007935;v85_Disponibilidad;Prestamo;Préstamo
007936;v85_Disponibilidad;Prestamo;Préstamo
007939;v85_Disponibilidad;Prestamo;Préstamo
007941;v85_Disponibilidad;Prestamo;Préstamo
007946;v85_Disponibilidad;Prestamo;Préstamo
007948;v85_Disponibilidad;Prestamo;Préstamo
007960;v85_Disponibilidad;Prestamo;Préstamo
007985;v85_Disponibilidad;Prestamo;Préstamo
008000;v85_Disponibilidad;Prestamo;Préstamo
008001;v85_Disponibilidad;Prestamo;Préstamo
008003;v85_Disponibilidad;Prestamo;Préstamo
008007;v85_Disponibilidad;Prestamo;Préstamo
008011;v85_Disponibilidad;Prestamo;Préstamo
008013;v85_Disponibilidad;Prestamo;Préstamo
008016;v85_Disponibilidad;Prestamo;Préstamo
008017;v85_Disponibilidad;Prestamo;Préstamo
008018;v85_Disponibilidad;Prestamo;Préstamo
008019;v85_Disponibilidad;Prestamo;Préstamo
008020;v85_Disponibilidad;Prestamo;Préstamo
008021;v85_Disponibilidad;Prestamo;Préstamo
008025;v85_Disponibilidad;Prestamo;Préstamo
008026;v85_Disponibilidad;Prestamo;Préstamo
008027;v85_Disponibilidad;Prestamo;Préstamo
008029;v85_Disponibilidad;Prestamo;Préstamo
008030;v85_Disponibilidad;Prestamo;Préstamo
008031;v85_Disponibilidad;Prestamo;Préstamo
008032;v85_Disponibilidad;Prestamo;Préstamo
008033;v85_Disponibilidad;Prestamo;Préstamo
008034;v85_Disponibilidad;Prestamo;Préstamo
008035;v85_Disponibilidad;Prestamo;Préstamo
008036;v85_Disponibilidad;Prestamo;Préstamo
008037;v85_Disponibilidad;Prestamo;Préstamo
008039;v85_Disponibilidad;Prestamo;Préstamo
008041;v85_Disponibilidad;Prestamo;Préstamo
008046;v85_Disponibilidad;Prestamo;Préstamo
008049;v85_Disponibilidad;Prestamo;Préstamo
008050;v85_Disponibilidad;Prestamo;Préstamo
008051;v85_Disponibilidad;Prestamo;Préstamo
008059;v85_Disponibilidad;Prestamo;Préstamo
008060;v85_Disponibilidad;Prestamo;Préstamo
008061;v85_Disponibilidad;Prestamo;Préstamo
008062;v85_Disponibilidad;Prestamo;Préstamo
008063;v85_Disponibilidad;Prestamo;Préstamo
008064;v85_Disponibilidad;Prestamo;Préstamo
008065;v85_Disponibilidad;Prestamo;Préstamo
008066;v85_Disponibilidad;Prestamo;Préstamo
008067;v85_Disponibilidad;Prestamo;Préstamo
008068;v85_Disponibilidad;Prestamo;Préstamo
008080;v85_Disponibilidad;Prestamo;Préstamo
008082;v85_Disponibilidad;Prestamo;Préstamo
008084;v85_Disponibilidad;Prestamo;Préstamo
008090;v85_Disponibilidad;Prestamo;Préstamo
008092;v85_Disponibilidad;Prestamo;Préstamo
008093;v85_Disponibilidad;Prestamo;Préstamo
008094;v85_Disponibilidad;Prestamo;Préstamo
008095;v85_Disponibilidad;Prestamo;Préstamo
008096;v85_Disponibilidad;Prestamo;Préstamo
008097;v85_Disponibilidad;Prestamo;Préstamo
008098;v85_Disponibilidad;Prestamo;Préstamo
008099;v85_Disponibilidad;Prestamo;Préstamo
008100;v85_Disponibilidad;Prestamo;Préstamo
008103;v85_Disponibilidad;Prestamo;Préstamo
008104;v85_Disponibilidad;Prestamo;Préstamo
008105;v85_Disponibilidad;Prestamo;Préstamo
008106;v85_Disponibilidad;Prestamo;Préstamo
008107;v85_Disponibilidad;Prestamo;Préstamo
008108;v85_Disponibilidad;Prestamo;Préstamo
008113;v85_Disponibilidad;Prestamo;Préstamo
008117;v85_Disponibilidad;Prestamo;Préstamo
008119;v85_Disponibilidad;Prestamo;Préstamo
008120;v85_Disponibilidad;Prestamo;Préstamo
008121;v85_Disponibilidad;Prestamo;Préstamo
008123;v85_Disponibilidad;Prestamo;Préstamo
008124;v85_Disponibilidad;Prestamo;Préstamo
008125;v85_Disponibilidad;Prestamo;Préstamo
008129;v85_Disponibilidad;Prestamo;Préstamo
008132;v85_Disponibilidad;Prestamo;Préstamo
008133;v85_Disponibilidad;Prestamo;Préstamo
008134;v85_Disponibilidad;Prestamo;Préstamo
008135;v85_Disponibilidad;Prestamo;Préstamo
008140;v85_Disponibilidad;Prestamo;Préstamo
008141;v85_Disponibilidad;Prestamo;Préstamo
008142;v85_Disponibilidad;Prestamo;Préstamo
008204;v85_Disponibilidad;Prestamo;Préstamo
008211;v85_Disponibilidad;Prestamo;Préstamo
008227;v85_Disponibilidad;Prestamo;Préstamo
008228;v85_Disponibilidad;Prestamo;Préstamo
008229;v85_Disponibilidad;Prestamo;Préstamo
008230;v85_Disponibilidad;Prestamo;Préstamo
008231;v85_Disponibilidad;Prestamo;Préstamo
008233;v85_Disponibilidad;Prestamo;Préstamo
008234;v85_Disponibilidad;Prestamo;Préstamo
008235;v85_Disponibilidad;Prestamo;Préstamo
008236;v85_Disponibilidad;Prestamo;Préstamo
008237;v85_Disponibilidad;Prestamo;Préstamo
008244;v85_Disponibilidad;Prestamo;Préstamo
008324;v85_Disponibilidad;Prestamo;Préstamo
008334;v85_Disponibilidad;Prestamo;Préstamo
008371;v85_Disponibilidad;Prestamo;Préstamo
008372;v85_Disponibilidad;Prestamo;Préstamo
008398;v85_Disponibilidad;Prestamo;Préstamo
008578;v85_Disponibilidad;Prestamo;Préstamo
008640;v85_Disponibilidad;Prestamo;Préstamo
008674;v85_Disponibilidad;Prestamo;Préstamo
008720;v85_Disponibilidad;Prestamo;Préstamo
008736;v85_Disponibilidad;Prestamo;Préstamo
008744;v85_Disponibilidad;Prestamo;Préstamo
008762;v85_Disponibilidad;Prestamo;Préstamo
008793;v85_Disponibilidad;Prestamo;Préstamo
008797;v85_Disponibilidad;Prestamo;Préstamo
008826;v85_Disponibilidad;Prestamo;Préstamo
009384;v85_Disponibilidad;Prestamo;Préstamo
009434;v85_Disponibilidad;Prestamo;Préstamo
009446;v85_Disponibilidad;Prestamo;Préstamo
009574;v85_Disponibilidad;Prestamo;Préstamo
009639;v85_Disponibilidad;Prestamo;Préstamo
010037;v85_Disponibilidad;Prestamo;Préstamo
010277;v85_Disponibilidad;Prestamo;Préstamo
010566;v100_Codigo_bd;Catx;CATX
010832;v22_Autor_personal;Ringuelet, R.A.^rdir<|>Bellusci de Miralles, D.A.;Ringuelet, R.A.^rdir.<|>Bellusci de Miralles, D.A.
010833;v22_Autor_personal;Ringuelet, R.A.^rdir<|>Castellanos, Z.A. de<|>Férnandez, D.;Ringuelet, R.A.^rdir.<|>Castellanos, Z.A. de<|>Férnandez, D.
010834;v22_Autor_personal;Ringuelet, R.A.^rdir<|>Gaillard, C.<|>Castellanos, Z.A. de;Ringuelet, R.A.^rdir.<|>Gaillard, C.<|>Castellanos, Z.A. de
010835;v22_Autor_personal;Ringuelet, R.A.^rdir<|>Castellanos, Z.A. de;Ringuelet, R.A.^rdir.<|>Castellanos, Z.A. de
010836;v22_Autor_personal;Ringuelet, R.A.^rdir<|>Schnack, J.A.;Ringuelet, R.A.^rdir.<|>Schnack, J.A.
010837;v22_Autor_personal;Ringuelet, R.A.^rdir<|>Bachmann, A.O.;Ringuelet, R.A.^rdir.<|>Bachmann, A.O.
010838;v22_Autor_personal;Ringuelet, R.A.^rdir<|>Coscarón, S.;Ringuelet, R.A.^rdir.<|>Coscarón, S.
010839;v22_Autor_personal;Ringuelet, R.A.^rdir<|>Massoia, E.;Ringuelet, R.A.^rdir.<|>Massoia, E.
010840;v22_Autor_personal;Ringuelet, R.A.^rdir<|>Freigberg, M.;Ringuelet, R.A.^rdir.<|>Freigberg, M.
010841;v22_Autor_personal;Ringuelet, R.A.^rdir<|>Navas, J.R.;Ringuelet, R.A.^rdir.<|>Navas, J.R.
010844;v22_Autor_personal;Hippel, Arthur R. von^rdir;Hippel, Arthur R. von^rdir.
010873;v22_Autor_personal;Simionati de Fritz, N.A.<|>Cicchini, Adulio Atilio^rdir;Simionati de Fritz, N.A.<|>Cicchini, Adulio Atilio^rdir.
010967;v85_Disponibilidad;Prestamo;Préstamo
011231;v85_Disponibilidad;Prestamo;Préstamo
011238;v85_Disponibilidad;Prestamo;Préstamo
011518;v85_Disponibilidad;Prestamo;Préstamo
011970;v85_Disponibilidad;Prestamo;Préstamo
011974;v85_Disponibilidad;Prestamo;Préstamo
011992;v85_Disponibilidad;Prestamo;Préstamo
013157;v22_Autor_personal;Young, R.H.^red.<|>MacCormac, C.W.^red;Young, R.H.^red.<|>MacCormac, C.W.^red.
013650;v85_Disponibilidad;Subgerencia de calidad;Subgerencia de Calidad
013650;v22_Autor_personal;Scheinberg, Sari<|>Samuelsson, Angelica^rdirs;Scheinberg, Sari<|>Samuelsson, Angelica^rdirs.
013653;v85_Disponibilidad;Subgerencia de calidad;Subgerencia de Calidad
013654;v85_Disponibilidad;Subgerencia de calidad;Subgerencia de Calidad
013654;v22_Autor_personal;Munasinghe, Mohan<|>McNeely, Jeffrey^reds.<|>Schwab, Adelaida^rcomp;Munasinghe, Mohan<|>McNeely, Jeffrey^reds.<|>Schwab, Adelaida^rcomp.
013876;v22_Autor_personal;Michaelis, Robert E.^rcomp;Michaelis, Robert E.^rcomp.
013888;v22_Autor_personal;Charalambous, George^red;Charalambous, George^red.
013896;v22_Autor_personal;Krugers, J.^red;Krugers, J.^red.
013897;v22_Autor_personal;Keulemans, A.I.M.<|>Verver, C.G.^red;Keulemans, A.I.M.<|>Verver, C.G.^red.
013898;v22_Autor_personal;Noebels, Henry J.<|>Walls, R.F.<|>Brenner, Nathaniel^reds;Noebels, Henry J.<|>Walls, R.F.<|>Brenner, Nathaniel^reds.
013909;v22_Autor_personal;Mellor, J.W.<|>Parkes, G.D.^rdir;Mellor, J.W.<|>Parkes, G.D.^rdir.
013919;v22_Autor_personal;Remy, H.<|>Kleinberg, J.^red;Remy, H.<|>Kleinberg, J.^red.
013921;v22_Autor_personal;Rao, M.A.<|>Rizvi, S.S.H.^reds;Rao, M.A.<|>Rizvi, S.S.H.^reds.
014035;v22_Autor_personal;Veziroglu, T.Nejat<|>Seifritz, Walter^reds;Veziroglu, T.Nejat<|>Seifritz, Walter^reds.
014046;v22_Autor_personal;Aven, M.<|>Prener, J.S.^reds;Aven, M.<|>Prener, J.S.^reds.
014121;v22_Autor_personal;Emeléus, H.J.<|>Sharpe, A.G.^reds;Emeléus, H.J.<|>Sharpe, A.G.^reds.
014122;v22_Autor_personal;Wilson, Reginald H.^red;Wilson, Reginald H.^red.
014123;v22_Autor_personal;Kruger, James E.<|>Matsuo, Robert B.<|>Dick, Joel W.^reds;Kruger, James E.<|>Matsuo, Robert B.<|>Dick, Joel W.^reds.
014125;v22_Autor_personal;Reeve, Roger N.<|>Barnes, John D.^reds;Reeve, Roger N.<|>Barnes, John D.^reds.
014126;v22_Autor_personal;Gilman, Henry^red;Gilman, Henry^red.
014128;v22_Autor_personal;Prager, Bernhard<|>Jacobson, Paul^reds;Prager, Bernhard<|>Jacobson, Paul^reds.
014132;v22_Autor_personal;Rodd, E.H.^red;Rodd, E.H.^red.
014152;v22_Autor_personal;Scully, J.C.^red;Scully, J.C.^red.
014155;v22_Autor_personal;White, Ralph E.^red;White, Ralph E.^red.
014217;v22_Autor_personal;Grignard, V.^rdir;Grignard, V.^rdir.
014317;v22_Autor_personal;Anselme, Jean-Pierre^red;Anselme, Jean-Pierre^red.
014516;v22_Autor_personal;Miles, Leslie^red;Miles, Leslie^red.
014717;v100_Codigo_bd;CATx;CATX
014962;v85_Disponibilidad;Prèstamo;Préstamo
015135;v22_Autor_personal;Kosacoff, Bernardo^rdir<|>Bonvecchi, Carlos<|>Fuchs, Mariana<|>Kantis, Hugo<|>Ramos, Adrián<|>Yoguel, Gabriel;Kosacoff, Bernardo^rdir.<|>Bonvecchi, Carlos<|>Fuchs, Mariana<|>Kantis, Hugo<|>Ramos, Adrián<|>Yoguel, Gabriel
016066;v85_Disponibilidad;préstamo;Préstamo
016779;v22_Autor_personal;Somasundaran, P.^red;Somasundaran, P.^red.
016978;v100_Codigo_bd;catx;CATX
020534;v85_Disponibilidad;Prestamo anual SEGEMAR;Préstamo anual SEGEMAR
020927;v22_Autor_personal;Hoyt, Samuel L.^red;Hoyt, Samuel L.^red.
022513;v22_Autor_personal;Swineford, Ada^red<|>Bates, Thomas F.^red.<|>Plummer, Norman^red.<|>Bradley, William F.^red.<|>Waxman, Monroe H.^red.<|>Weaver, Charles E.^red.;Swineford, Ada^red.<|>Bates, Thomas F.^red.<|>Plummer, Norman^red.<|>Bradley, William F.^red.<|>Waxman, Monroe H.^red.<|>Weaver, Charles E.^red.
022515;v22_Autor_personal;Swineford, Ada^red<|>Bates, Thomas F.^red.<|>Franks, Paul C.^red.<|>Lewis, Donald R.^red.<|>Waxman, Monroe H.^red.<|>Bradley, William F.^red.<|>Frederickson, A.F.^red.<|>Plummer, Norman^red.<|>Weaver, Charles E.^red.;Swineford, Ada^red.<|>Bates, Thomas F.^red.<|>Franks, Paul C.^red.<|>Lewis, Donald R.^red.<|>Waxman, Monroe H.^red.<|>Bradley, William F.^red.<|>Frederickson, A.F.^red.<|>Plummer, Norman^red.<|>Weaver, Charles E.^red.
022516;v22_Autor_personal;Swineford, Ada^red<|>Franks, Paul C.^red.<|>Bates, Thomas F.^red.<|>Carrol, Dorothy^red.<|>Lewis, Donald R.^red.<|>Waxman, Monroe H.^red.<|>Bradley, William F.^red.<|>Frederickson, A.F.^red.<|>Low, Philip F.^red.<|>Weaver, Charles E.^red.;Swineford, Ada^red.<|>Franks, Paul C.^red.<|>Bates, Thomas F.^red.<|>Carrol, Dorothy^red.<|>Lewis, Donald R.^red.<|>Waxman, Monroe H.^red.<|>Bradley, William F.^red.<|>Frederickson, A.F.^red.<|>Low, Philip F.^red.<|>Weaver, Charles E.^red.
022517;v22_Autor_personal;Swineford, Ada^red<|>Franks, Paul C.^red.<|>Bates, Thomas F.^red.<|>Carrol, Dorothy^red.<|>Lewis, Donald R.^red.<|>Murray, Haydn H.^red.<|>Bradley, William F.^red.<|>Frederickson, A.F.^red.<|>Low, Philip F.^red.<|>Rowland, Richards^red.<|>Weaver, Charles E.^red.;Swineford, Ada^red.<|>Franks, Paul C.^red.<|>Bates, Thomas F.^red.<|>Carrol, Dorothy^red.<|>Lewis, Donald R.^red.<|>Murray, Haydn H.^red.<|>Bradley, William F.^red.<|>Frederickson, A.F.^red.<|>Low, Philip F.^red.<|>Rowland, Richards^red.<|>Weaver, Charles E.^red.
022571;v85_Disponibilidad;INTI-Extensión y desarrollo;INTI-Extensión y Desarrollo
023727;v22_Autor_personal;Rapoport, Rhona<|>Bailyn, Lotte<|>Kolb, Deborah^rcolab.<|>Fletcher, Joyce^rcolab.<|>Friedman, Dana E.^rcolab<|>Eaton, Susan^rcolab.<|>Harvey, Maureen^rcolab.<|>Miller, Barbara^rcolab.;Rapoport, Rhona<|>Bailyn, Lotte<|>Kolb, Deborah^rcolab.<|>Fletcher, Joyce^rcolab.<|>Friedman, Dana E.^rcolab.<|>Eaton, Susan^rcolab.<|>Harvey, Maureen^rcolab.<|>Miller, Barbara^rcolab.
023957;v22_Autor_personal;Rimbach, Richard^rtrad<|>Michel, A. J.^rtrad.;Rimbach, Richard^rtrad.<|>Michel, A. J.^rtrad.
024025;v85_Disponibilidad;INTI-Cereales y oleaginosas;INTI-Cereales y Oleaginosas
024026;v85_Disponibilidad;INTI-Cereales y oleaginosas;INTI-Cereales y Oleaginosas
024178;v85_Disponibilidad;INTI-CARNES;INTI-Carnes
024280;v22_Autor_personal;Kearns, Jeffery R^red<|>Little, Brenda J.^red.;Kearns, Jeffery R^red.<|>Little, Brenda J.^red.
