MFN;Columna;Antes;Despues
000232;v40_Idioma;eng<|>fra<|>spa<|>ita<|>nl<|>deu;eng<|>fra<|>spa<|>ita<|>nld<|>deu
000251;v40_Idioma;eng<|>fra<|>deu<|>rus<|>spa<|>pl;eng<|>fra<|>deu<|>rus<|>spa<|>pol
000282;v40_Idioma;deu<|>spa<|>ita<|>eng<|>fra<|>sv;deu<|>spa<|>ita<|>eng<|>fra<|>swe
000285;v40_Idioma;deu<|>eng<|>fra<|>spa<|>ita<|>no;deu<|>eng<|>fra<|>spa<|>ita<|>nor
000286;v40_Idioma;deu<|>fra<|>ita<|>eng<|>spa<|>no;deu<|>fra<|>ita<|>eng<|>spa<|>nor
000290;v40_Idioma;eng<|>fra<|>spa<|>deu<|>ita<|>no<|>rus;eng<|>fra<|>spa<|>deu<|>ita<|>nor<|>rus
000297;v40_Idioma;eng<|>deu<|>rus<|>pl;eng<|>deu<|>rus<|>pol
000307;v40_Idioma;eng<|>fra<|>spa<|>ita<|>por<|>deu<|>nl<|>sv<|>id<|>jpn;eng<|>fra<|>spa<|>ita<|>por<|>deu<|>nld<|>swe<|>ind<|>jpn
000361;v40_Idioma;ita<|>fra<|>spa<|>eng<|>por<|>nl<|>deu;ita<|>fra<|>spa<|>eng<|>por<|>nld<|>deu
000363;v40_Idioma;deu<|>ita<|>spa<|>eng<|>fra<|>da;deu<|>ita<|>spa<|>eng<|>fra<|>dan
000369;v40_Idioma;pl<|>fra<|>deu<|>rus<|>eng;pol<|>fra<|>deu<|>rus<|>eng
000378;v40_Idioma;eng<|>deu<|>fra<|>spa<|>ita<|>nl;eng<|>deu<|>fra<|>spa<|>ita<|>nld
000381;v40_Idioma;eng<|>rus<|>cs;eng<|>rus<|>ces
002180;v40_Idioma;eng<|>ar<|>zh<|>fra<|>rus<|>spa;eng<|>ara<|>zho<|>fra<|>rus<|>spa
013216;v40_Idioma;pl;pol
014639;v40_Idioma;deu<|>eng<|>spa<|>fra<|>nl<|>ita;deu<|>eng<|>spa<|>fra<|>nld<|>ita
014647;v40_Idioma;eng<|>fra<|>spa<|>deu<|>nl;eng<|>fra<|>spa<|>deu<|>nld
014648;v40_Idioma;eng<|>fra<|>spa<|>nl<|>deu<|>la;eng<|>fra<|>spa<|>nld<|>deu<|>lat
014651;v40_Idioma;eng<|>fra<|>spa<|>nl<|>ita<|>deu;eng<|>fra<|>spa<|>nld<|>ita<|>deu
014816;v40_Idioma;su<|>deu<|>spa<|>ita<|>nl<|>pl<|>sv;su<|>deu<|>spa<|>ita<|>nld<|>pol<|>swe
014829;v40_Idioma;fra<|>eng<|>spa<|>ita<|>rus<|>nl;fra<|>eng<|>spa<|>ita<|>rus<|>nld
014841;v40_Idioma;eng<|>fra<|>ita<|>deu<|>spa<|>ji<|>sv;eng<|>fra<|>ita<|>deu<|>spa<|>yid<|>swe
014843;v40_Idioma;eng<|>fra<|>spa<|>ita<|>nl<|>deu;eng<|>fra<|>spa<|>ita<|>nld<|>deu
014847;v40_Idioma;eng<|>deu<|>fra<|>spa<|>ita<|>nl;eng<|>deu<|>fra<|>spa<|>ita<|>nld
015361;v40_Idioma;fr;fra
017822;v40_Idioma;eng<|>deu<|>spa<|>fra<|>sv;eng<|>deu<|>spa<|>fra<|>swe
017902;v40_Idioma;eng<|>fra<|>deu<|>spa<|>sv;eng<|>fra<|>deu<|>spa<|>swe
018413;v40_Idioma;nl;nld
020763;v40_Idioma;fra<|>eng<|>deu<|>spa<|>ita<|>nl;fra<|>eng<|>deu<|>spa<|>ita<|>nld
021351;v40_Idioma;sv<|>eng;swe<|>eng
022312;v40_Idioma;nl;nld
024856;v40_Idioma;eng<|>sv;eng<|>swe
027077;v40_Idioma;eng<|>fra<|>spa<|>ita<|>deu<|>nl;eng<|>fra<|>spa<|>ita<|>deu<|>nld
036948;v40_Idioma;deu<|>fra<|>nl<|>ita<|>eng;deu<|>fra<|>nld<|>ita<|>eng
037158;v40_Idioma;eng<|>fra<|>spa<|>ita<|>por<|>deu<|>nl<|>sv<|>id<|>jpn;eng<|>fra<|>spa<|>ita<|>por<|>deu<|>nld<|>swe<|>ind<|>jpn
037168;v40_Idioma;eng<|>sv;eng<|>swe
037276;v40_Idioma;nl<|>deu<|>fra;nld<|>deu<|>fra
041548;v40_Idioma;nl;nld
046079;v40_Idioma;nl<|>eng<|>fra;nld<|>eng<|>fra
049354;v40_Idioma;spa<|>ek;spa<|>eus
049355;v40_Idioma;spa<|>ek;spa<|>eus
049356;v40_Idioma;spa<|>ek;spa<|>eus
049357;v40_Idioma;spa<|>ek;spa<|>eus
049359;v40_Idioma;spa<|>ek;spa<|>eus
049360;v40_Idioma;spa<|>ek;spa<|>eus
049361;v40_Idioma;spa<|>ek;spa<|>eus
