MFN;Columna;Antes;Despues
001872;v22_Autor_personal;Alanis, Irene L.<|>Berardo, Liliana N.<|>Valentini, Cristóbal R.;Alanis, Irene Luisa<|>Berardo, Liliana N.<|>Valentini, Cristóbal R.
002319;v22_Autor_personal;Alanis, Irene L.<|>Abuin, Graciela C.;Alanis, Irene Luisa<|>Abuin, Graciela Carmen
002350;v22_Autor_personal;Alanis, Irene L.<|>Berardo, Liliana N.<|>Valentini, Cristóbal R.;Alanis, Irene Luisa<|>Berardo, Liliana N.<|>Valentini, Cristóbal R.
002487;v22_Autor_personal;Alanis, Irene L.;Alanis, Irene Luisa
002512;v22_Autor_personal;Alanis, Irene L.<|>D'Alkaine, Carlos V.;Alanis, Irene Luisa<|>D'Alkaine, Carlos V.
002590;v22_Autor_personal;Behar, Alberto<|>Méndez, A.<|>Rochaix, E.C.;Behar, Alberto<|>Méndez, Andrea Mirta<|>Rochaix, E.C.
002735;v22_Autor_personal;Alanis, Irene L.;Alanis, Irene Luisa
004654;v22_Autor_personal;Tischler, Moisés<|>Villamil, Mario<|>Martínez, E.<|>Marajofsky, A.<|>Celora, J.<|>Recalde, L.;Tischler, Moisés<|>Villamil, Mario<|>Martínez, Emiliano<|>Marajofsky, A.<|>Celora, J.<|>Recalde, L.
004961;v22_Autor_personal;Alanis, Irene L.<|>Schiffrin, David J.;Alanis, Irene Luisa<|>Schiffrin, David J.
004969;v22_Autor_personal;Arroyo, Oscar<|>Storani, Alejandro;Arroyo, Oscar Rafael Antonio<|>Storani, Alejandro
005140;v22_Autor_personal;Alvarez, Néstor<|>Moina, Carlos A.;Álvarez, Néstor<|>Moina, Carlos A.
005300;v22_Autor_personal;Abuin, Graciela C.<|>Böhm, U.<|>Marchiano, S. L.;Abuin, Graciela Carmen<|>Böhm, U.<|>Marchiano, S. L.
005565;v22_Autor_personal;Alvarez, P.<|>Olmedo, Ana María T.<|>Villegas, M.;Álvarez, Pablo Augusto<|>Olmedo, Ana María T.<|>Villegas, M.
005638;v22_Autor_personal;Abuin, Graciela C.<|>Alvarez, Néstor<|>Alanis, Irene L.<|>Calvo, Ernesto J.<|>Mahmud, Zulema<|>Míguez, Marina<|>Moina, Carlos A.;Abuin, Graciela Carmen<|>Álvarez, Néstor<|>Alanis, Irene Luisa<|>Calvo, Ernesto J.<|>Mahmud, Zulema<|>Míguez, Marina<|>Moina, Carlos A.
005655;v22_Autor_personal;Alanis, Irene L.<|>De Cristófaro, Norma B.<|>Berardo, Liliana N.<|>Valentini, Cristóbal R.<|>Moina, Carlos A.;Alanis, Irene Luisa<|>De Cristófaro, Norma B.<|>Berardo, Liliana N.<|>Valentini, Cristóbal R.<|>Moina, Carlos A.
005665;v22_Autor_personal;Biscontin, A.<|>González, M.<|>Jacobo, J.C.<|>Kestelboim, G.<|>Pianelli, G.<|>Raventino, C.I.<|>Pérez, Daniel N.<|>Rostagno, J.C.<|>Sardoñans, F.<|>Stilinovic, M.<|>Veltri, R.<|>Biondo, O.<|>Kirszman, O.;Biscontin, A.<|>González, M.<|>Jacobo, J.C.<|>Kestelboim, G.<|>Pianelli, G.<|>Raventino, C.I.<|>Pérez, Daniel N.<|>Rostagno, J.C.<|>Sardoñans, F.<|>Stilinovic, M.<|>Veltri, R.<|>Biondo, Oscar Alberto<|>Kirszman, O.
005673;v22_Autor_personal;Alanis, Irene L.;Alanis, Irene Luisa
005795;v22_Autor_personal;Sofía, Alberto<|>Abuin, Graciela C.<|>De Marco, Ruben<|>Estevez, Susana<|>Pilot, Cristina<|>Pinto, Mónica<|>Rehak, Liliana;Sofía, Alberto<|>Abuin, Graciela Carmen<|>De Marco, Ruben<|>Estevez, Susana<|>Pilot, Cristina<|>Pinto, Mónica<|>Rehak, Liliana
005925;v22_Autor_personal;Alanis, Irene L.<|>Berardo, Liliana N.<|>De Cristófaro, Norma B.<|>Moina, Carlos A.<|>Valentini, Cristóbal R.;Alanis, Irene Luisa<|>Berardo, Liliana N.<|>De Cristófaro, Norma B.<|>Moina, Carlos A.<|>Valentini, Cristóbal R.
005958;v22_Autor_personal;Valentini, Cristobal R.<|>Berardo, Liliana N.<|>Alanis, Irene L.;Valentini, Cristobal R.<|>Berardo, Liliana N.<|>Alanis, Irene Luisa
005959;v22_Autor_personal;Berardo, Liliana N.<|>Valentini, Cristobal R.<|>Alanis, Irene L.;Berardo, Liliana N.<|>Valentini, Cristobal R.<|>Alanis, Irene Luisa
005960;v22_Autor_personal;Alanis, Irene L.<|>Berardo, Liliana N.<|>Valentini, Cristobal R.;Alanis, Irene Luisa<|>Berardo, Liliana N.<|>Valentini, Cristobal R.
006165;v22_Autor_personal;Berardo, Liliana N.<|>Valentini, Cristóbal R.<|>Alanis, Irene L.;Berardo, Liliana N.<|>Valentini, Cristóbal R.<|>Alanis, Irene Luisa
006183;v22_Autor_personal;Valentini, Cristóbal R.<|>Alanis, Irene L.;Valentini, Cristóbal R.<|>Alanis, Irene Luisa
006204;v22_Autor_personal;Alanis, Irene L.<|>Berardo, Liliana N.<|>Valentini, Cristóbal R.;Alanis, Irene Luisa<|>Berardo, Liliana N.<|>Valentini, Cristóbal R.
