MFN;Columna;Antes;Despues
050958;v25_Colaborador;Bierzychudek, M. E.<|>Di Lillo, L. D.;Bierzychudek, Marcos Eduardo<|>Di Lillo, Lucas Daniel
050972;v25_Colaborador;Apecena, Luciana<|>Baretta, Luis<|>Lagier, María Eugenia<|>Rodríguez, Marcos<|>Romanelli, Martín<|>Rosso, Julián<|>Wyngaard, Guillermo;Apecena, Luciana<|>Baretta, Luis<|>Lagier, María Eugenia<|>Rodríguez, Marcos Ignacio<|>Romanelli, Martín<|>Rosso, Julián<|>Wyngaard, Guillermo
051081;v25_Colaborador;Martínez Krahmer, D.^rprol.<|>Maceira, G.^rcol.<|>Ruiz, E.^rcol.;Martínez Krahmer, Daniel Osvaldo^rprol.<|>Maceira, G.^rcol.<|>Ruiz, E.^rcol.
051085;v25_Colaborador;Zorreguieta, A.^rdir.<|>Russo, D.^rdir.<|>López, N.^rcons.;Zorreguieta, Ángeles^rdir.<|>Russo, D.^rdir.<|>López, N.^rcons.
051091;v25_Colaborador;Olivia, A.^rcol<|>Burroni, L.^rcol<|>Galanzino, C.^rcol<|>Mazzeo, N.^rcol<|>Nicastro, J.^rcol<|>Pettigiani, E.^rcol<|>Rivarola, P.^rcol<|>Tuninetti, L.^rcol<|>Yafar, J.^rcol;Olivia, A.^rcol<|>Burroni, Laura Valeria^rcol<|>Galanzino, C.^rcol<|>Mazzeo, N.^rcol<|>Nicastro, J.^rcol<|>Pettigiani, Eugenio^rcol<|>Rivarola, Paula^rcol<|>Tuninetti, Leticia^rcol<|>Yafar, J.^rcol
051092;v25_Colaborador;Altamirano, P.^rdir;Altamirano, Pablo Martín^rdir
051178;v25_Colaborador;Cappa, M.^rprol.;Cappa, María de los Ángeles^rprol.
051299;v25_Colaborador;Pietrarelli, L.^rcol<|>Natan, P.^rcol<|>Teran, M.^rcol<|>Zaszczynski, C.^rcol<|>Verberck, J.^rcol<|>Castellano, J.^rcol<|>Pettigiani, E.^rcol;Pietrarelli, L.^rcol<|>Natan, P.^rcol<|>Teran, M.^rcol<|>Zaszczynski, Cristian Gabriel^rcol<|>Verberck, J.^rcol<|>Castellano, J.^rcol<|>Pettigiani, Eugenio^rcol
051302;v25_Colaborador;Ramírez, Rodrigo^rcol.;Ramírez, Rodrigo Javier^rcol.
051305;v25_Colaborador;Costamagna, Gabriela Alejandra^rcol.<|>Pirola, María Belén^rdir.;Costamagna Magnarelli, Gabriela Alejandra^rcol.<|>Pirola, María  Belén^rdir.
051320;v25_Colaborador;Fabro, M.^rdir.<|>Secchi, H.^rtut.<|>Cevinelli, H.^rtut.;Fabro, Mabel Angélica^rdir.<|>Secchi, H.^rtut.<|>Cevinelli, H.^rtut.
051346;v25_Colaborador;Valdés, Joaquín^rtut.<|>Álvarez, Marcela^tut.;Valdés, Joaquín^rtut.<|>Álvarez, Marcela Andrea^tut.
051433;v25_Colaborador;Díaz, María Victoria^ril.<|>Ramírez, Rodrigo^rprol.;Díaz, María Victoria^ril.<|>Ramírez, Rodrigo Javier^rprol.
